date,costume,isPartial
2018-01-07,24,False
2018-01-14,30,False
2018-01-21,54,False
2018-01-28,59,False
2018-02-04,100,False
2018-02-11,38,False
2018-02-18,90,False
2018-02-25,33,False
2018-03-04,37,False
2018-03-11,37,False
2018-03-18,39,False
2018-03-25,39,False
2018-04-01,22,False
2018-04-08,45,False
2018-04-15,32,False
2018-04-22,36,False
2018-04-29,46,False
2018-05-06,40,False
2018-05-13,35,False
2018-05-20,37,False
2018-05-27,29,False
2018-06-03,36,False
2018-06-10,28,False
2018-06-17,41,False
2018-06-24,33,False
2018-07-01,42,False
2018-07-08,26,False
2018-07-15,16,False
2018-07-22,51,False
2018-07-29,33,False
2018-08-05,20,False
2018-08-12,20,False
2018-08-19,27,False
2018-08-26,37,False
2018-09-02,23,False
2018-09-09,38,False
2018-09-16,53,False
2018-09-23,26,False
2018-09-30,72,False
2018-10-07,67,False
2018-10-14,73,False
2018-10-21,72,False
2018-10-28,58,False
2018-11-04,46,False
2018-11-11,39,False
2018-11-18,21,False
2018-11-25,7,False
2018-12-02,39,False
2018-12-09,55,False
2018-12-16,74,False
2018-12-23,53,False
2018-12-30,56,False
2019-01-06,49,False
2019-01-13,53,False
2019-01-20,24,False
2019-01-27,31,False
2019-02-03,32,False
2019-02-10,43,False
2019-02-17,56,False
2019-02-24,72,False
2019-03-03,73,False
2019-03-10,39,False
2019-03-17,33,False
2019-03-24,40,False
2019-03-31,68,False
2019-04-07,32,False
2019-04-14,30,False
2019-04-21,45,False
2019-04-28,55,False
2019-05-05,31,False
2019-05-12,57,False
2019-05-19,32,False
2019-05-26,58,False
2019-06-02,35,False
2019-06-09,23,False
2019-06-16,32,False
2019-06-23,40,False
2019-06-30,28,False
2019-07-07,40,False
2019-07-14,41,False
2019-07-21,19,False
2019-07-28,39,False
2019-08-04,20,False
2019-08-11,15,False
2019-08-18,30,False
2019-08-25,29,False
2019-09-01,21,False
2019-09-08,46,False
2019-09-15,32,False
2019-09-22,20,False
2019-09-29,23,False
2019-10-06,33,False
2019-10-13,47,False
2019-10-20,47,False
2019-10-27,73,False
2019-11-03,42,False
2019-11-10,35,False
2019-11-17,42,False
2019-11-24,25,False
2019-12-01,39,False
2019-12-08,38,False
2019-12-15,45,False
2019-12-22,33,False
2019-12-29,39,False
2020-01-05,28,False
2020-01-12,30,False
2020-01-19,25,False
2020-01-26,36,False
2020-02-02,43,False
2020-02-09,65,False
2020-02-16,33,False
2020-02-23,67,False
2020-03-01,56,False
2020-03-08,26,False
2020-03-15,10,False
2020-03-22,15,False
2020-03-29,20,False
2020-04-05,28,False
2020-04-12,24,True
