geoName,geoCode,Mauer Bauen
Baden-Württemberg,DE-BW,37
Bavaria,DE-BY,25
Berlin,DE-BE,21
Brandenburg,DE-BB,48
Bremen,DE-HB,0
Hamburg,DE-HH,0
Hesse,DE-HE,25
Lower Saxony,DE-NI,21
Mecklenburg-Vorpommern,DE-MV,0
North Rhine-Westphalia,DE-NW,27
Rhineland-Palatinate,DE-RP,46
Saarland,DE-SL,100
Saxony,DE-SN,32
Saxony-Anhalt,DE-ST,41
Schleswig-Holstein,DE-SH,16
Thuringia,DE-TH,50
