geoName,geoCode,ricamo
Abruzzo,IT-65,49
Aosta,IT-23,39
Apulia,IT-75,49
Basilicata,IT-77,77
Calabria,IT-78,100
Campania,IT-72,52
Emilia-Romagna,IT-45,48
Friuli-Venezia Giulia,IT-36,68
Lazio,IT-62,40
Liguria,IT-42,54
Lombardy,IT-25,43
Marche,IT-57,75
Molise,IT-67,80
Piedmont,IT-21,51
Sardinia,IT-88,71
Sicily,IT-82,63
Trentino-Alto Adige/South Tyrol,IT-32,60
Tuscany,IT-52,51
Umbria,IT-55,72
Veneto,IT-34,54
