geoName,geoCode,Ricamo
Abruzzo,IT-65,48
Aosta,IT-23,67
Apulia,IT-75,48
Basilicata,IT-77,78
Calabria,IT-78,100
Campania,IT-72,44
Emilia-Romagna,IT-45,32
Friuli-Venezia Giulia,IT-36,56
Lazio,IT-62,35
Liguria,IT-42,47
Lombardy,IT-25,36
Marche,IT-57,52
Molise,IT-67,70
Piedmont,IT-21,45
Sardinia,IT-88,57
Sicily,IT-82,53
Trentino-Alto Adige/South Tyrol,IT-32,49
Tuscany,IT-52,39
Umbria,IT-55,58
Veneto,IT-34,54
