geoName,geoCode,Parkettleger
Baden-Württemberg,DE-BW,60
Bavaria,DE-BY,45
Berlin,DE-BE,65
Brandenburg,DE-BB,100
Bremen,DE-HB,0
Hamburg,DE-HH,91
Hesse,DE-HE,56
Lower Saxony,DE-NI,46
Mecklenburg-Vorpommern,DE-MV,71
North Rhine-Westphalia,DE-NW,55
Rhineland-Palatinate,DE-RP,22
Saarland,DE-SL,0
Saxony,DE-SN,78
Saxony-Anhalt,DE-ST,0
Schleswig-Holstein,DE-SH,47
Thuringia,DE-TH,53
