geoName,geoCode,Schreinerei
Aargau,CH-AG,40
Appenzell Innerrhoden,CH-AI,100
Appenzell Outer Rhodes,CH-AR,73
Basel-Landschaft,CH-BL,34
Basel-Stadt,CH-BS,33
Canton of Bern,CH-BE,41
Canton of Fribourg,CH-FR,9
Canton of Glarus,CH-GL,55
Canton of Jura,CH-JU,0
Canton of Neuchâtel,CH-NE,3
Canton of Obwalden,CH-OW,61
Canton of Schaffhausen,CH-SH,33
Canton of Schwyz,CH-SZ,62
Canton of Solothurn,CH-SO,50
Canton of Uri,CH-UR,36
Canton of Zug,CH-ZG,40
Geneva,CH-GE,2
Grisons,CH-GR,33
Lucerne,CH-LU,57
Nidwalden,CH-NW,63
St. Gallen,CH-SG,41
Thurgau,CH-TG,45
Ticino,CH-TI,5
Valais,CH-VS,17
Vaud,CH-VD,7
Zurich,CH-ZH,31
