date,Schreinerei,isPartial
2018-01-07,53,False
2018-01-14,49,False
2018-01-21,49,False
2018-01-28,59,False
2018-02-04,45,False
2018-02-11,71,False
2018-02-18,69,False
2018-02-25,56,False
2018-03-04,72,False
2018-03-11,60,False
2018-03-18,64,False
2018-03-25,49,False
2018-04-01,45,False
2018-04-08,57,False
2018-04-15,51,False
2018-04-22,74,False
2018-04-29,62,False
2018-05-06,59,False
2018-05-13,49,False
2018-05-20,43,False
2018-05-27,85,False
2018-06-03,90,False
2018-06-10,37,False
2018-06-17,58,False
2018-06-24,41,False
2018-07-01,48,False
2018-07-08,41,False
2018-07-15,52,False
2018-07-22,50,False
2018-07-29,43,False
2018-08-05,54,False
2018-08-12,73,False
2018-08-19,44,False
2018-08-26,79,False
2018-09-02,60,False
2018-09-09,54,False
2018-09-16,45,False
2018-09-23,52,False
2018-09-30,32,False
2018-10-07,49,False
2018-10-14,49,False
2018-10-21,42,False
2018-10-28,42,False
2018-11-04,84,False
2018-11-11,77,False
2018-11-18,100,False
2018-11-25,69,False
2018-12-02,32,False
2018-12-09,78,False
2018-12-16,62,False
2018-12-23,28,False
2018-12-30,26,False
2019-01-06,68,False
2019-01-13,65,False
2019-01-20,43,False
2019-01-27,72,False
2019-02-03,56,False
2019-02-10,67,False
2019-02-17,55,False
2019-02-24,62,False
2019-03-03,56,False
2019-03-10,71,False
2019-03-17,52,False
2019-03-24,63,False
2019-03-31,65,False
2019-04-07,55,False
2019-04-14,45,False
2019-04-21,61,False
2019-04-28,41,False
2019-05-05,73,False
2019-05-12,65,False
2019-05-19,79,False
2019-05-26,88,False
2019-06-02,52,False
2019-06-09,40,False
2019-06-16,51,False
2019-06-23,28,False
2019-06-30,60,False
2019-07-07,57,False
2019-07-14,63,False
2019-07-21,45,False
2019-07-28,36,False
2019-08-04,56,False
2019-08-11,54,False
2019-08-18,73,False
2019-08-25,69,False
2019-09-01,49,False
2019-09-08,65,False
2019-09-15,50,False
2019-09-22,74,False
2019-09-29,56,False
2019-10-06,61,False
2019-10-13,68,False
2019-10-20,76,False
2019-10-27,71,False
2019-11-03,75,False
2019-11-10,67,False
2019-11-17,58,False
2019-11-24,42,False
2019-12-01,54,False
2019-12-08,62,False
2019-12-15,50,False
2019-12-22,39,False
2019-12-29,37,False
2020-01-05,59,False
2020-01-12,54,False
2020-01-19,74,False
2020-01-26,60,False
2020-02-02,51,False
2020-02-09,65,False
2020-02-16,47,False
2020-02-23,60,False
2020-03-01,51,False
2020-03-08,44,False
2020-03-15,59,False
2020-03-22,63,False
2020-03-29,56,False
2020-04-05,36,False
2020-04-12,61,False
2020-04-19,65,False
2020-04-26,75,False
2020-05-03,61,False
2020-05-10,57,False
2020-05-17,35,False
2020-05-24,43,False
2020-05-31,65,False
2020-06-07,42,False
2020-06-14,83,False
2020-06-21,48,False
2020-06-28,52,False
2020-07-05,83,False
