Year,ticket_geo_region_name,Loc_type,Distribution
2018,Abruzzo,Ristorante,0.0
2018,Abruzzo,Cascina,0.0
2018,Abruzzo,Borgo antico,0.0
2018,Abruzzo,Villa,0.72
2018,Abruzzo,Castello,0.28
2018,Valle d'Aosta,Ristorante,NA
2018,Valle d'Aosta,Cascina,NA
2018,Valle d'Aosta,Borgo antico,NA
2018,Valle d'Aosta,Villa,NA
2018,Valle d'Aosta,Castello,NA
2018,Puglia,Ristorante,0.28
2018,Puglia,Cascina,0.11
2018,Puglia,Borgo antico,0.02
2018,Puglia,Villa,0.18
2018,Puglia,Castello,0.11
2018,Basilicata,Ristorante,NA
2018,Basilicata,Cascina,NA
2018,Basilicata,Borgo antico,NA
2018,Basilicata,Villa,NA
2018,Basilicata,Castello,NA
2018,Calabria,Ristorante,0.35
2018,Calabria,Cascina,0.03
2018,Calabria,Borgo antico,0.03
2018,Calabria,Villa,0.21
2018,Calabria,Castello,0.03
2018,Campania,Ristorante,0.36
2018,Campania,Cascina,0.03
2018,Campania,Borgo antico,0.02
2018,Campania,Villa,0.28
2018,Campania,Castello,0.03
2018,Emilia-Romagna,Ristorante,0.14
2018,Emilia-Romagna,Cascina,0.09
2018,Emilia-Romagna,Borgo antico,0.0
2018,Emilia-Romagna,Villa,0.17
2018,Emilia-Romagna,Castello,0.05
2018,Friuli Venezia Giulia,Ristorante,0.0
2018,Friuli Venezia Giulia,Cascina,0.0
2018,Friuli Venezia Giulia,Borgo antico,0.0
2018,Friuli Venezia Giulia,Villa,0.5
2018,Friuli Venezia Giulia,Castello,0.5
2018,Italia,Ristorante,0.21
2018,Italia,Cascina,0.04
2018,Italia,Borgo antico,0.05
2018,Italia,Villa,0.52
2018,Italia,Castello,0.19
2018,Lazio,Ristorante,0.16
2018,Lazio,Cascina,0.07
2018,Lazio,Borgo antico,0.05
2018,Lazio,Villa,0.33
2018,Lazio,Castello,0.04
2018,Liguria,Ristorante,0.37
2018,Liguria,Cascina,0.0
2018,Liguria,Borgo antico,0.0
2018,Liguria,Villa,0.03
2018,Liguria,Castello,0.07
2018,Lombardia,Ristorante,0.16
2018,Lombardia,Cascina,0.07
2018,Lombardia,Borgo antico,0.05
2018,Lombardia,Villa,0.32
2018,Lombardia,Castello,0.07
2018,Marche,Ristorante,0.0
2018,Marche,Cascina,0.0
2018,Marche,Borgo antico,0.0
2018,Marche,Villa,0.84
2018,Marche,Castello,0.16
