Year,ticket_geo_region_name,Prof_type,Distribution
2018,Abruzzo,Affitto location matrimonio,0.25
2018,Abruzzo,Catering matrimoni,0.1
2018,Abruzzo,Dj per matrimoni,0.16
2018,Abruzzo,Fiorista matrimonio,0.13
2018,Abruzzo,Fotografo di matrimonio,0.47
2018,Abruzzo,Trucco sposa,0.04
2018,Abruzzo,Wedding planner,0.11
2018,Basilicata,Affitto location matrimonio,0.09
2018,Basilicata,Catering matrimoni,0.09
2018,Basilicata,Dj per matrimoni,0.29
2018,Basilicata,Fiorista matrimonio,0.04
2018,Basilicata,Fotografo di matrimonio,0.38
2018,Basilicata,Trucco sposa,0.02
2018,Basilicata,Wedding planner,0.09
2018,Calabria,Affitto location matrimonio,0.23
2018,Calabria,Catering matrimoni,0.06
2018,Calabria,Dj per matrimoni,0.13
2018,Calabria,Fiorista matrimonio,0.07
2018,Calabria,Fotografo di matrimonio,0.29
2018,Calabria,Trucco sposa,0.08
2018,Calabria,Wedding planner,0.16
2018,Campania,Affitto location matrimonio,0.19
2018,Campania,Catering matrimoni,0.03
2018,Campania,Dj per matrimoni,0.1
2018,Campania,Fiorista matrimonio,0.12
2018,Campania,Fotografo di matrimonio,0.27
2018,Campania,Trucco sposa,0.11
2018,Campania,Wedding planner,0.19
2018,Emilia-Romagna,Affitto location matrimonio,0.24
2018,Emilia-Romagna,Catering matrimoni,0.07
2018,Emilia-Romagna,Dj per matrimoni,0.12
2018,Emilia-Romagna,Fiorista matrimonio,0.1
2018,Emilia-Romagna,Fotografo di matrimonio,0.25
2018,Emilia-Romagna,Trucco sposa,0.14
2018,Emilia-Romagna,Wedding planner,0.07
2018,Friuli Venezia Giulia,Affitto location matrimonio,0.31
2018,Friuli Venezia Giulia,Catering matrimoni,0.08
2018,Friuli Venezia Giulia,Dj per matrimoni,0.15
2018,Friuli Venezia Giulia,Fiorista matrimonio,0.04
2018,Friuli Venezia Giulia,Fotografo di matrimonio,0.27
2018,Friuli Venezia Giulia,Trucco sposa,0.08
2018,Friuli Venezia Giulia,Wedding planner,0.06
2018,Italia,Affitto location matrimonio,0.21
2018,Italia,Catering matrimoni,0.08
2018,Italia,Dj per matrimoni,0.13
2018,Italia,Fiorista matrimonio,0.09
2018,Italia,Fotografo di matrimonio,0.3
2018,Italia,Trucco sposa,0.08
2018,Italia,Wedding planner,0.11
2018,Lazio,Affitto location matrimonio,0.14
2018,Lazio,Catering matrimoni,0.08
2018,Lazio,Dj per matrimoni,0.1
2018,Lazio,Fiorista matrimonio,0.11
2018,Lazio,Fotografo di matrimonio,0.34
2018,Lazio,Trucco sposa,0.1
2018,Lazio,Wedding planner,0.13
2018,Liguria,Affitto location matrimonio,0.27
2018,Liguria,Catering matrimoni,0.07
2018,Liguria,Dj per matrimoni,0.09
2018,Liguria,Fiorista matrimonio,0.11
2018,Liguria,Fotografo di matrimonio,0.27
2018,Liguria,Trucco sposa,0.08
2018,Liguria,Wedding planner,0.1
2018,Lombardia,Affitto location matrimonio,0.14
2018,Lombardia,Catering matrimoni,0.08
2018,Lombardia,Dj per matrimoni,0.12
2018,Lombardia,Fiorista matrimonio,0.12
2018,Lombardia,Fotografo di matrimonio,0.32
2018,Lombardia,Trucco sposa,0.13
2018,Lombardia,Wedding planner,0.1
2018,Marche,Affitto location matrimonio,0.28
2018,Marche,Catering matrimoni,0.04
2018,Marche,Dj per matrimoni,0.2
2018,Marche,Fiorista matrimonio,0.1
2018,Marche,Fotografo di matrimonio,0.23
2018,Marche,Trucco sposa,0.05
2018,Marche,Wedding planner,0.1
2018,Molise,Affitto location matrimonio,0.2
2018,Molise,Catering matrimoni,0.14
2018,Molise,Dj per matrimoni,0.09
2018,Molise,Fiorista matrimonio,0.09
2018,Molise,Fotografo di matrimonio,0.34
2018,Molise,Trucco sposa,0.03
2018,Molise,Wedding planner,0.11
2018,Piemonte,Affitto location matrimonio,0.19
2018,Piemonte,Catering matrimoni,0.09
2018,Piemonte,Dj per matrimoni,0.14
2018,Piemonte,Fiorista matrimonio,0.1
2018,Piemonte,Fotografo di matrimonio,0.31
2018,Piemonte,Trucco sposa,0.07
2018,Piemonte,Wedding planner,0.1
2018,Puglia,Affitto location matrimonio,0.15
2018,Puglia,Catering matrimoni,0.07
2018,Puglia,Dj per matrimoni,0.11
2018,Puglia,Fiorista matrimonio,0.1
2018,Puglia,Fotografo di matrimonio,0.32
2018,Puglia,Trucco sposa,0.08
2018,Puglia,Wedding planner,0.16
2018,Sardegna,Affitto location matrimonio,0.29
2018,Sardegna,Catering matrimoni,0.08
2018,Sardegna,Dj per matrimoni,0.09
2018,Sardegna,Fiorista matrimonio,0.1
2018,Sardegna,Fotografo di matrimonio,0.26
2018,Sardegna,Trucco sposa,0.08
2018,Sardegna,Wedding planner,0.1
2018,Sicilia,Affitto location matrimonio,0.24
2018,Sicilia,Catering matrimoni,0.05
2018,Sicilia,Dj per matrimoni,0.1
2018,Sicilia,Fiorista matrimonio,0.11
2018,Sicilia,Fotografo di matrimonio,0.31
2018,Sicilia,Trucco sposa,0.06
2018,Sicilia,Wedding planner,0.12
2018,Toscana,Affitto location matrimonio,0.22
2018,Toscana,Catering matrimoni,0.13
2018,Toscana,Dj per matrimoni,0.1
2018,Toscana,Fiorista matrimonio,0.05
2018,Toscana,Fotografo di matrimonio,0.28
2018,Toscana,Trucco sposa,0.11
2018,Toscana,Wedding planner,0.1
2018,Trentino-Alto Adige,Affitto location matrimonio,0.28
2018,Trentino-Alto Adige,Catering matrimoni,0.06
2018,Trentino-Alto Adige,Dj per matrimoni,0.12
2018,Trentino-Alto Adige,Fiorista matrimonio,0.01
2018,Trentino-Alto Adige,Fotografo di matrimonio,0.32
2018,Trentino-Alto Adige,Trucco sposa,0.15
2018,Trentino-Alto Adige,Wedding planner,0.06
2018,Umbria,Affitto location matrimonio,0.22
2018,Umbria,Catering matrimoni,0.07
2018,Umbria,Dj per matrimoni,0.12
2018,Umbria,Fiorista matrimonio,0.14
2018,Umbria,Fotografo di matrimonio,0.28
2018,Umbria,Trucco sposa,0.11
2018,Umbria,Wedding planner,0.05
2018,Valle d'Aosta,Affitto location matrimonio,0.09
2018,Valle d'Aosta,Catering matrimoni,0.13
2018,Valle d'Aosta,Dj per matrimoni,0.13
2018,Valle d'Aosta,Fiorista matrimonio,0.18
2018,Valle d'Aosta,Fotografo di matrimonio,0.18
2018,Valle d'Aosta,Trucco sposa,0.08
2018,Valle d'Aosta,Wedding planner,0.22
2018,Veneto,Affitto location matrimonio,0.17
2018,Veneto,Catering matrimoni,0.09
2018,Veneto,Dj per matrimoni,0.16
2018,Veneto,Fiorista matrimonio,0.06
2018,Veneto,Fotografo di matrimonio,0.33
2018,Veneto,Trucco sposa,0.11
2018,Veneto,Wedding planner,0.08
2019,Abruzzo,Affitto location matrimonio,0.43
2019,Abruzzo,Catering matrimoni,0.07
2019,Abruzzo,Dj per matrimoni,0.09
2019,Abruzzo,Fiorista matrimonio,0.07
2019,Abruzzo,Fotografo di matrimonio,0.18
2019,Abruzzo,Trucco sposa,0.06
2019,Abruzzo,Wedding planner,0.11
2019,Basilicata,Affitto location matrimonio,0.22
2019,Basilicata,Catering matrimoni,0.08
2019,Basilicata,Dj per matrimoni,0.15
2019,Basilicata,Fiorista matrimonio,0.16
2019,Basilicata,Fotografo di matrimonio,0.2
2019,Basilicata,Trucco sposa,0.03
2019,Basilicata,Wedding planner,0.16
2019,Calabria,Affitto location matrimonio,0.37
2019,Calabria,Catering matrimoni,0.04
2019,Calabria,Dj per matrimoni,0.15
2019,Calabria,Fiorista matrimonio,0.06
2019,Calabria,Fotografo di matrimonio,0.18
2019,Calabria,Trucco sposa,0.07
2019,Calabria,Wedding planner,0.14
2019,Campania,Affitto location matrimonio,0.4
2019,Campania,Catering matrimoni,0.06
2019,Campania,Dj per matrimoni,0.09
2019,Campania,Fiorista matrimonio,0.08
2019,Campania,Fotografo di matrimonio,0.15
2019,Campania,Trucco sposa,0.07
2019,Campania,Wedding planner,0.15
2019,Emilia-Romagna,Affitto location matrimonio,0.47
2019,Emilia-Romagna,Catering matrimoni,0.1
2019,Emilia-Romagna,Dj per matrimoni,0.09
2019,Emilia-Romagna,Fiorista matrimonio,0.05
2019,Emilia-Romagna,Fotografo di matrimonio,0.13
2019,Emilia-Romagna,Trucco sposa,0.08
2019,Emilia-Romagna,Wedding planner,0.08
2019,Friuli Venezia Giulia,Affitto location matrimonio,0.49
2019,Friuli Venezia Giulia,Catering matrimoni,0.08
2019,Friuli Venezia Giulia,Dj per matrimoni,0.09
2019,Friuli Venezia Giulia,Fiorista matrimonio,0.03
2019,Friuli Venezia Giulia,Fotografo di matrimonio,0.14
2019,Friuli Venezia Giulia,Trucco sposa,0.08
