,geoName,apprendre la guitare
3,Brittany,45.0
5,Centre-Val de Loire,47.0
7,Corsica,100.0
15,Pays de la Loire,39.0
18,Provence-Alpes-Côte d'Azur,32.0
21,Île-de-France,27.0
22,Grand-est,38.666666666666664
23,Hauts-de-france,38.5
24,Normandie,42.5
25,Bourgogne-Franche-Comté,33.5
26,Nouvelle-Aquitaine,49.666666666666664
27,Occitanie,43.0
28,Auvergne-Rhône-Alpes,36.5
