geoName,geoCode,portaconfetti
Abruzzo,IT-65,21
Aosta,IT-23,0
Apulia,IT-75,32
Basilicata,IT-77,100
Calabria,IT-78,41
Campania,IT-72,34
Emilia-Romagna,IT-45,10
Friuli-Venezia Giulia,IT-36,11
Lazio,IT-62,20
Liguria,IT-42,21
Lombardy,IT-25,10
Marche,IT-57,14
Molise,IT-67,46
Piedmont,IT-21,11
Sardinia,IT-88,14
Sicily,IT-82,40
Trentino-Alto Adige/South Tyrol,IT-32,7
Tuscany,IT-52,8
Umbria,IT-55,9
Veneto,IT-34,11
