date,gruppo,isPartial
2018-01-07,89,False
2018-01-14,89,False
2018-01-21,83,False
2018-01-28,87,False
2018-02-04,89,False
2018-02-11,93,False
2018-02-18,81,False
2018-02-25,70,False
2018-03-04,77,False
2018-03-11,74,False
2018-03-18,81,False
2018-03-25,84,False
2018-04-01,73,False
2018-04-08,83,False
2018-04-15,88,False
2018-04-22,74,False
2018-04-29,78,False
2018-05-06,75,False
2018-05-13,90,False
2018-05-20,75,False
2018-05-27,72,False
2018-06-03,86,False
2018-06-10,70,False
2018-06-17,92,False
2018-06-24,93,False
2018-07-01,69,False
2018-07-08,74,False
2018-07-15,80,False
2018-07-22,82,False
2018-07-29,87,False
2018-08-05,76,False
2018-08-12,63,False
2018-08-19,72,False
2018-08-26,85,False
2018-09-02,81,False
2018-09-09,85,False
2018-09-16,89,False
2018-09-23,88,False
2018-09-30,77,False
2018-10-07,77,False
2018-10-14,87,False
2018-10-21,84,False
2018-10-28,83,False
2018-11-04,91,False
2018-11-11,92,False
2018-11-18,90,False
2018-11-25,89,False
2018-12-02,87,False
2018-12-09,78,False
2018-12-16,77,False
2018-12-23,75,False
2018-12-30,88,False
2019-01-06,86,False
2019-01-13,93,False
2019-01-20,88,False
2019-01-27,90,False
2019-02-03,84,False
2019-02-10,90,False
2019-02-17,73,False
2019-02-24,88,False
2019-03-03,77,False
2019-03-10,91,False
2019-03-17,91,False
2019-03-24,86,False
2019-03-31,82,False
2019-04-07,93,False
2019-04-14,69,False
2019-04-21,72,False
2019-04-28,82,False
2019-05-05,94,False
2019-05-12,86,False
2019-05-19,85,False
2019-05-26,78,False
2019-06-02,84,False
2019-06-09,85,False
2019-06-16,84,False
2019-06-23,78,False
2019-06-30,79,False
2019-07-07,78,False
2019-07-14,85,False
2019-07-21,82,False
2019-07-28,82,False
2019-08-04,83,False
2019-08-11,76,False
2019-08-18,73,False
2019-08-25,84,False
2019-09-01,91,False
2019-09-08,86,False
2019-09-15,86,False
2019-09-22,82,False
2019-09-29,88,False
2019-10-06,85,False
2019-10-13,100,False
2019-10-20,96,False
2019-10-27,93,False
2019-11-03,84,False
2019-11-10,89,False
2019-11-17,95,False
2019-11-24,83,False
2019-12-01,87,False
2019-12-08,80,False
2019-12-15,78,False
2019-12-22,76,False
2019-12-29,71,False
2020-01-05,86,False
2020-01-12,80,False
2020-01-19,89,False
2020-01-26,80,False
2020-02-02,92,False
2020-02-09,89,False
2020-02-16,92,False
2020-02-23,81,False
2020-03-01,81,False
2020-03-08,90,False
2020-03-15,97,False
2020-03-22,89,False
2020-03-29,87,False
2020-04-05,87,False
2020-04-12,89,False
2020-04-19,89,False
2020-04-26,87,True
