date,gruppo,isPartial
2018-01-07,89,False
2018-01-14,95,False
2018-01-21,89,False
2018-01-28,85,False
2018-02-04,93,False
2018-02-11,88,False
2018-02-18,89,False
2018-02-25,83,False
2018-03-04,80,False
2018-03-11,81,False
2018-03-18,81,False
2018-03-25,77,False
2018-04-01,83,False
2018-04-08,84,False
2018-04-15,85,False
2018-04-22,76,False
2018-04-29,69,False
2018-05-06,77,False
2018-05-13,82,False
2018-05-20,77,False
2018-05-27,85,False
2018-06-03,84,False
2018-06-10,85,False
2018-06-17,91,False
2018-06-24,94,False
2018-07-01,74,False
2018-07-08,76,False
2018-07-15,77,False
2018-07-22,77,False
2018-07-29,77,False
2018-08-05,78,False
2018-08-12,68,False
2018-08-19,74,False
2018-08-26,80,False
2018-09-02,82,False
2018-09-09,88,False
2018-09-16,87,False
2018-09-23,89,False
2018-09-30,84,False
2018-10-07,91,False
2018-10-14,87,False
2018-10-21,89,False
2018-10-28,80,False
2018-11-04,80,False
2018-11-11,87,False
2018-11-18,80,False
2018-11-25,80,False
2018-12-02,82,False
2018-12-09,88,False
2018-12-16,81,False
2018-12-23,67,False
2018-12-30,84,False
2019-01-06,85,False
2019-01-13,93,False
2019-01-20,85,False
2019-01-27,89,False
2019-02-03,87,False
2019-02-10,85,False
2019-02-17,87,False
2019-02-24,88,False
2019-03-03,83,False
2019-03-10,87,False
2019-03-17,84,False
2019-03-24,93,False
2019-03-31,82,False
2019-04-07,80,False
2019-04-14,81,False
2019-04-21,73,False
2019-04-28,80,False
2019-05-05,89,False
2019-05-12,83,False
2019-05-19,83,False
2019-05-26,86,False
2019-06-02,96,False
2019-06-09,83,False
2019-06-16,86,False
2019-06-23,80,False
2019-06-30,78,False
2019-07-07,80,False
2019-07-14,87,False
2019-07-21,75,False
2019-07-28,71,False
2019-08-04,74,False
2019-08-11,63,False
2019-08-18,73,False
2019-08-25,79,False
2019-09-01,83,False
2019-09-08,89,False
2019-09-15,86,False
2019-09-22,85,False
2019-09-29,88,False
2019-10-06,85,False
2019-10-13,95,False
2019-10-20,90,False
2019-10-27,83,False
2019-11-03,87,False
2019-11-10,96,False
2019-11-17,92,False
2019-11-24,86,False
2019-12-01,88,False
2019-12-08,77,False
2019-12-15,75,False
2019-12-22,69,False
2019-12-29,75,False
2020-01-05,85,False
2020-01-12,97,False
2020-01-19,97,False
2020-01-26,81,False
2020-02-02,89,False
2020-02-09,92,False
2020-02-16,92,False
2020-02-23,71,False
2020-03-01,83,False
2020-03-08,91,False
2020-03-15,100,False
2020-03-22,92,False
2020-03-29,94,False
2020-04-05,89,False
2020-04-12,90,False
2020-04-19,88,False
2020-04-26,84,True
