date,gruppo,isPartial
2018-01-07,69,False
2018-01-14,94,False
2018-01-21,68,False
2018-01-28,70,False
2018-02-04,71,False
2018-02-11,80,False
2018-02-18,68,False
2018-02-25,63,False
2018-03-04,60,False
2018-03-11,72,False
2018-03-18,78,False
2018-03-25,60,False
2018-04-01,64,False
2018-04-08,63,False
2018-04-15,56,False
2018-04-22,82,False
2018-04-29,64,False
2018-05-06,57,False
2018-05-13,87,False
2018-05-20,74,False
2018-05-27,72,False
2018-06-03,81,False
2018-06-10,55,False
2018-06-17,84,False
2018-06-24,100,False
2018-07-01,58,False
2018-07-08,61,False
2018-07-15,55,False
2018-07-22,63,False
2018-07-29,53,False
2018-08-05,60,False
2018-08-12,50,False
2018-08-19,55,False
2018-08-26,67,False
2018-09-02,79,False
2018-09-09,82,False
2018-09-16,70,False
2018-09-23,84,False
2018-09-30,87,False
2018-10-07,81,False
2018-10-14,89,False
2018-10-21,70,False
2018-10-28,67,False
2018-11-04,83,False
2018-11-11,60,False
2018-11-18,83,False
2018-11-25,76,False
2018-12-02,81,False
2018-12-09,61,False
2018-12-16,73,False
2018-12-23,51,False
2018-12-30,78,False
2019-01-06,88,False
2019-01-13,82,False
2019-01-20,74,False
2019-01-27,78,False
2019-02-03,62,False
2019-02-10,79,False
2019-02-17,81,False
2019-02-24,91,False
2019-03-03,59,False
2019-03-10,70,False
2019-03-17,91,False
2019-03-24,73,False
2019-03-31,71,False
2019-04-07,73,False
2019-04-14,52,False
2019-04-21,59,False
2019-04-28,68,False
2019-05-05,79,False
2019-05-12,68,False
2019-05-19,64,False
2019-05-26,79,False
2019-06-02,76,False
2019-06-09,51,False
2019-06-16,57,False
2019-06-23,59,False
2019-06-30,79,False
2019-07-07,74,False
2019-07-14,91,False
2019-07-21,58,False
2019-07-28,67,False
2019-08-04,60,False
2019-08-11,51,False
2019-08-18,60,False
2019-08-25,62,False
2019-09-01,78,False
2019-09-08,77,False
2019-09-15,90,False
2019-09-22,70,False
2019-09-29,66,False
2019-10-06,70,False
2019-10-13,96,False
2019-10-20,79,False
2019-10-27,69,False
2019-11-03,89,False
2019-11-10,76,False
2019-11-17,88,False
2019-11-24,70,False
2019-12-01,69,False
2019-12-08,70,False
2019-12-15,66,False
2019-12-22,78,False
2019-12-29,81,False
2020-01-05,67,False
2020-01-12,67,False
2020-01-19,72,False
2020-01-26,94,False
2020-02-02,66,False
2020-02-09,79,False
2020-02-16,85,False
2020-02-23,79,False
2020-03-01,72,False
2020-03-08,88,False
2020-03-15,92,False
2020-03-22,76,False
2020-03-29,79,False
2020-04-05,78,False
2020-04-12,64,False
2020-04-19,86,False
2020-04-26,59,True
