geoName,geoCode,piante
Abruzzo,IT-65,82
Aosta,IT-23,70
Apulia,IT-75,66
Basilicata,IT-77,59
Calabria,IT-78,73
Campania,IT-72,63
Emilia-Romagna,IT-45,82
Friuli-Venezia Giulia,IT-36,94
Lazio,IT-62,71
Liguria,IT-42,79
Lombardy,IT-25,81
Marche,IT-57,84
Molise,IT-67,96
Piedmont,IT-21,84
Sardinia,IT-88,77
Sicily,IT-82,64
Trentino-Alto Adige/South Tyrol,IT-32,68
Tuscany,IT-52,90
Umbria,IT-55,84
Veneto,IT-34,100
