date,Automazione cancelli,Cronotermostato e termostato,Installazione impianto di domotica,Installazione impianto wifi,Motorizzazione tapparelle
2018-01-01,0,10,0,0,0
2018-03-01,10,0,0,0,10
2018-04-01,0,0,0,0,20
2018-05-01,0,0,0,0,20
2018-06-01,10,0,0,0,20
2018-07-01,10,0,0,0,20
2018-08-01,40,0,0,0,0
2018-09-01,10,0,0,0,20
2018-11-01,30,10,0,0,50
2018-12-01,10,10,0,20,10
2019-01-01,20,0,0,0,0
2019-02-01,20,0,0,0,0
2019-03-01,10,0,0,10,10
2019-04-01,50,10,0,0,30
2019-05-01,40,0,0,10,20
2019-06-01,50,0,0,0,0
2019-07-01,90,0,20,0,10
2019-08-01,30,0,10,0,0
2019-09-01,100,0,40,0,10
2019-10-01,40,0,10,0,60
2019-11-01,70,20,30,10,20
2019-12-01,10,20,20,0,0
2020-01-01,80,30,0,0,0
2020-02-01,80,0,20,0,50
2020-03-01,10,0,40,0,10
2020-04-01,0,10,30,10,20
2020-05-01,30,10,20,0,30
2020-06-01,40,0,0,30,10
2020-07-01,30,0,0,0,0
