date,Automazione cancelli,Motorizzazione tapparelle
2018-05-01,100,0
2018-08-01,0,100
2019-03-01,0,100
2019-12-01,100,0
2020-01-01,100,0
2020-06-01,100,0
2020-07-01,100,0
