date,Automazione cancelli,Cronotermostato e termostato,Installazione impianto di domotica,Motorizzazione tapparelle
2018-01-01,0.0,0.0,0.0,16.666666666666664
2018-02-01,16.666666666666664,0.0,0.0,16.666666666666664
2018-03-01,0.0,0.0,0.0,16.666666666666664
2018-07-01,16.666666666666664,0.0,0.0,16.666666666666664
2018-08-01,16.666666666666664,0.0,0.0,0.0
2018-09-01,16.666666666666664,0.0,0.0,16.666666666666664
2018-10-01,16.666666666666664,33.33333333333333,0.0,16.666666666666664
2018-11-01,0.0,16.666666666666664,0.0,0.0
2019-02-01,16.666666666666664,0.0,0.0,33.33333333333333
2019-05-01,0.0,0.0,0.0,16.666666666666664
2019-06-01,0.0,0.0,0.0,16.666666666666664
2019-07-01,16.666666666666664,0.0,0.0,33.33333333333333
2019-08-01,0.0,0.0,16.666666666666664,0.0
2019-09-01,0.0,0.0,0.0,100.0
2019-10-01,16.666666666666664,0.0,0.0,16.666666666666664
2019-11-01,0.0,16.666666666666664,16.666666666666664,33.33333333333333
2019-12-01,0.0,0.0,16.666666666666664,0.0
2020-01-01,50.0,0.0,0.0,0.0
2020-02-01,16.666666666666664,0.0,16.666666666666664,0.0
2020-03-01,0.0,0.0,16.666666666666664,0.0
2020-05-01,33.33333333333333,16.666666666666664,0.0,33.33333333333333
2020-06-01,0.0,83.33333333333334,16.666666666666664,0.0
2020-07-01,0.0,0.0,0.0,16.666666666666664
