date,Automazione cancelli,Cronotermostato e termostato,Installazione impianto di domotica,Installazione impianto wifi,Motorizzazione tapparelle
2018-01-01,0.0,0.0,0.0,0.0,25.0
2018-02-01,12.5,0.0,0.0,0.0,0.0
2018-03-01,12.5,0.0,0.0,25.0,37.5
2018-04-01,0.0,0.0,0.0,0.0,25.0
2018-05-01,12.5,0.0,0.0,12.5,75.0
2018-06-01,0.0,0.0,0.0,12.5,0.0
2018-07-01,0.0,0.0,0.0,12.5,25.0
2018-08-01,12.5,12.5,0.0,0.0,37.5
2018-09-01,25.0,0.0,0.0,0.0,0.0
2018-10-01,50.0,0.0,0.0,0.0,0.0
2018-11-01,12.5,12.5,0.0,12.5,0.0
2018-12-01,12.5,12.5,0.0,0.0,25.0
2019-01-01,25.0,25.0,0.0,12.5,62.5
2019-02-01,50.0,0.0,0.0,12.5,25.0
2019-03-01,37.5,0.0,0.0,12.5,50.0
2019-04-01,12.5,0.0,0.0,12.5,12.5
2019-05-01,50.0,0.0,12.5,0.0,25.0
2019-06-01,25.0,12.5,12.5,0.0,12.5
2019-07-01,12.5,0.0,50.0,0.0,37.5
2019-08-01,37.5,0.0,0.0,12.5,37.5
2019-09-01,75.0,12.5,37.5,12.5,37.5
2019-10-01,50.0,25.0,50.0,12.5,50.0
2019-11-01,37.5,37.5,50.0,0.0,25.0
2019-12-01,25.0,25.0,25.0,0.0,12.5
2020-01-01,100.0,0.0,75.0,0.0,25.0
2020-02-01,37.5,0.0,50.0,0.0,0.0
2020-03-01,50.0,0.0,12.5,12.5,50.0
2020-05-01,50.0,0.0,37.5,0.0,12.5
2020-06-01,12.5,12.5,12.5,0.0,12.5
2020-07-01,25.0,12.5,0.0,0.0,25.0
