geoName,geoCode,Zaunbau
Burgenland,AT-1,0
Carinthia,AT-2,100
Lower Austria,AT-3,0
Salzburg,AT-5,86
Styria,AT-6,78
Tyrol,AT-7,0
Upper Austria,AT-4,84
Vienna,AT-9,63
Vorarlberg,AT-8,0
