geoName,geoCode,Garagentor
Baden-Württemberg,DE-BW,67
Bavaria,DE-BY,56
Berlin,DE-BE,15
Brandenburg,DE-BB,43
Bremen,DE-HB,64
Hamburg,DE-HH,22
Hesse,DE-HE,55
Lower Saxony,DE-NI,66
Mecklenburg-Vorpommern,DE-MV,45
North Rhine-Westphalia,DE-NW,66
Rhineland-Palatinate,DE-RP,82
Saarland,DE-SL,100
Saxony,DE-SN,39
Saxony-Anhalt,DE-ST,68
Schleswig-Holstein,DE-SH,48
Thuringia,DE-TH,66
