date,Garagentor,isPartial
2018-01-07,54,False
2018-01-14,67,False
2018-01-21,61,False
2018-01-28,79,False
2018-02-04,69,False
2018-02-11,61,False
2018-02-18,52,False
2018-02-25,71,False
2018-03-04,64,False
2018-03-11,76,False
2018-03-18,48,False
2018-03-25,88,False
2018-04-01,72,False
2018-04-08,66,False
2018-04-15,66,False
2018-04-22,50,False
2018-04-29,54,False
2018-05-06,71,False
2018-05-13,57,False
2018-05-20,53,False
2018-05-27,89,False
2018-06-03,78,False
2018-06-10,69,False
2018-06-17,59,False
2018-06-24,84,False
2018-07-01,85,False
2018-07-08,72,False
2018-07-15,69,False
2018-07-22,48,False
2018-07-29,65,False
2018-08-05,51,False
2018-08-12,65,False
2018-08-19,75,False
2018-08-26,57,False
2018-09-02,75,False
2018-09-09,60,False
2018-09-16,61,False
2018-09-23,83,False
2018-09-30,82,False
2018-10-07,100,False
2018-10-14,87,False
2018-10-21,73,False
2018-10-28,71,False
2018-11-04,78,False
2018-11-11,93,False
2018-11-18,71,False
2018-11-25,57,False
2018-12-02,51,False
2018-12-09,61,False
2018-12-16,47,False
2018-12-23,44,False
2018-12-30,45,False
2019-01-06,56,False
2019-01-13,57,False
2019-01-20,59,False
2019-01-27,54,False
2019-02-03,59,False
2019-02-10,74,False
2019-02-17,70,False
2019-02-24,66,False
2019-03-03,72,False
2019-03-10,85,False
2019-03-17,68,False
2019-03-24,70,False
2019-03-31,75,False
2019-04-07,53,False
2019-04-14,56,False
2019-04-21,64,False
2019-04-28,98,False
2019-05-05,56,False
2019-05-12,56,False
2019-05-19,46,False
2019-05-26,71,False
2019-06-02,65,False
2019-06-09,68,False
2019-06-16,69,False
2019-06-23,75,False
2019-06-30,60,False
2019-07-07,46,False
2019-07-14,66,False
2019-07-21,61,False
2019-07-28,76,False
2019-08-04,74,False
2019-08-11,78,False
2019-08-18,68,False
2019-08-25,50,False
2019-09-01,51,False
2019-09-08,65,False
2019-09-15,81,False
2019-09-22,62,False
2019-09-29,72,False
2019-10-06,56,False
2019-10-13,75,False
2019-10-20,48,False
2019-10-27,71,False
2019-11-03,54,False
2019-11-10,58,False
2019-11-17,65,False
2019-11-24,36,False
2019-12-01,45,False
2019-12-08,64,False
2019-12-15,44,False
2019-12-22,52,False
2019-12-29,69,False
2020-01-05,61,False
2020-01-12,80,False
2020-01-19,63,False
2020-01-26,64,False
2020-02-02,86,False
2020-02-09,63,False
2020-02-16,55,False
2020-02-23,76,False
2020-03-01,54,False
2020-03-08,74,False
2020-03-15,48,False
2020-03-22,58,False
2020-03-29,56,False
2020-04-05,62,False
2020-04-12,75,False
2020-04-19,76,False
2020-04-26,81,False
2020-05-03,60,False
2020-05-10,85,False
