geoName,geoCode,animatore
Abruzzo,IT-65,66
Aosta,IT-23,0
Apulia,IT-75,56
Basilicata,IT-77,57
Calabria,IT-78,56
Campania,IT-72,55
Emilia-Romagna,IT-45,47
Friuli-Venezia Giulia,IT-36,45
Lazio,IT-62,40
Liguria,IT-42,100
Lombardy,IT-25,58
Marche,IT-57,37
Molise,IT-67,95
Piedmont,IT-21,65
Sardinia,IT-88,38
Sicily,IT-82,54
Trentino-Alto Adige/South Tyrol,IT-32,21
Tuscany,IT-52,51
Umbria,IT-55,55
Veneto,IT-34,47
