geoName,geoCode,torta soffice
Abruzzo,IT-65,54
Aosta,IT-23,100
Apulia,IT-75,71
Basilicata,IT-77,64
Calabria,IT-78,88
Campania,IT-72,57
Emilia-Romagna,IT-45,74
Friuli-Venezia Giulia,IT-36,70
Lazio,IT-62,54
Liguria,IT-42,61
Lombardy,IT-25,74
Marche,IT-57,50
Molise,IT-67,52
Piedmont,IT-21,68
Sardinia,IT-88,75
Sicily,IT-82,64
Trentino-Alto Adige/South Tyrol,IT-32,40
Tuscany,IT-52,62
Umbria,IT-55,60
Veneto,IT-34,77
