geoName,geoCode,centre yoga
Brittany,FR-E,57.8125
Centre-Val de Loire,FR-F,100.0
Corsica,FR-H,0.0
Pays de la Loire,FR-R,51.5625
Provence-Alpes-Côte d'Azur,FR-U,95.3125
Île-de-France,FR-J,76.5625
Grand-est,FR-GE,0.0
Hauts-de-france,FR-HF,10.9375
Normandie,FR-NO,0.0
Bourgogne-Franche-Comté,FR-BFC,0.0
Nouvelle-Aquitaine,FR-NA,20.833333333333336
Occitanie,FR-OC,92.1875
Auvergne-Rhône-Alpes,FR-AR,25.0
