geoName,geoCode,Parrucchiere
Abruzzo,IT-65,81
Aosta,IT-23,71
Apulia,IT-75,75
Basilicata,IT-77,61
Calabria,IT-78,63
Campania,IT-72,67
Emilia-Romagna,IT-45,78
Friuli-Venezia Giulia,IT-36,65
Lazio,IT-62,100
Liguria,IT-42,76
Lombardy,IT-25,99
Marche,IT-57,76
Molise,IT-67,78
Piedmont,IT-21,89
Sardinia,IT-88,67
Sicily,IT-82,65
Trentino-Alto Adige/South Tyrol,IT-32,50
Tuscany,IT-52,95
Umbria,IT-55,76
Veneto,IT-34,87
