date,macchina del fumo,isPartial
2018-01-07,42,False
2018-01-14,94,False
2018-01-21,21,False
2018-01-28,41,False
2018-02-04,71,False
2018-02-11,31,False
2018-02-18,40,False
2018-02-25,30,False
2018-03-04,20,False
2018-03-11,20,False
2018-03-18,41,False
2018-03-25,43,False
2018-04-01,45,False
2018-04-08,21,False
2018-04-15,42,False
2018-04-22,22,False
2018-04-29,21,False
2018-05-06,21,False
2018-05-13,41,False
2018-05-20,21,False
2018-05-27,0,False
2018-06-03,21,False
2018-06-10,70,False
2018-06-17,42,False
2018-06-24,31,False
2018-07-01,52,False
2018-07-08,82,False
2018-07-15,42,False
2018-07-22,32,False
2018-07-29,64,False
2018-08-05,44,False
2018-08-12,35,False
2018-08-19,57,False
2018-08-26,21,False
2018-09-02,30,False
2018-09-09,30,False
2018-09-16,80,False
2018-09-23,20,False
2018-09-30,20,False
2018-10-07,21,False
2018-10-14,0,False
2018-10-21,82,False
2018-10-28,41,False
2018-11-04,50,False
2018-11-11,63,False
2018-11-18,81,False
2018-11-25,21,False
2018-12-02,21,False
2018-12-09,53,False
2018-12-16,0,False
2018-12-23,0,False
2018-12-30,0,False
2019-01-06,31,False
2019-01-13,60,False
2019-01-20,59,False
2019-01-27,38,False
2019-02-03,49,False
2019-02-10,30,False
2019-02-17,31,False
2019-02-24,70,False
2019-03-03,31,False
2019-03-10,31,False
2019-03-17,21,False
2019-03-24,31,False
2019-03-31,41,False
2019-04-07,20,False
2019-04-14,31,False
2019-04-21,33,False
2019-04-28,41,False
2019-05-05,30,False
2019-05-12,59,False
2019-05-19,20,False
2019-05-26,29,False
2019-06-02,41,False
2019-06-09,20,False
2019-06-16,41,False
2019-06-23,63,False
2019-06-30,21,False
2019-07-07,20,False
2019-07-14,21,False
2019-07-21,42,False
2019-07-28,32,False
2019-08-04,55,False
2019-08-11,35,False
2019-08-18,22,False
2019-08-25,100,False
2019-09-01,56,False
2019-09-08,39,False
2019-09-15,48,False
2019-09-22,28,False
2019-09-29,29,False
2019-10-06,19,False
2019-10-13,29,False
2019-10-20,56,False
2019-10-27,85,False
2019-11-03,18,False
2019-11-10,19,False
2019-11-17,46,False
2019-11-24,37,False
2019-12-01,39,False
2019-12-08,97,False
2019-12-15,49,False
2019-12-22,22,False
2019-12-29,42,False
2020-01-05,38,False
2020-01-12,35,False
2020-01-19,18,False
2020-01-26,26,False
2020-02-02,35,False
2020-02-09,73,False
2020-02-16,63,False
2020-02-23,0,False
2020-03-01,33,False
2020-03-08,33,False
2020-03-15,16,False
2020-03-22,15,False
2020-03-29,15,False
2020-04-05,16,False
2020-04-12,33,False
2020-04-19,16,False
2020-04-26,27,True
