geoName,geoCode,paysagiste jardin
Brittany,FR-E,100.0
Centre-Val de Loire,FR-F,83.0
Corsica,FR-H,0.0
Pays de la Loire,FR-R,83.0
Provence-Alpes-Côte d'Azur,FR-U,32.0
Île-de-France,FR-J,36.0
Grand-est,FR-GE,43.333333333333336
Hauts-de-france,FR-HF,37.0
Normandie,FR-NO,79.5
Bourgogne-Franche-Comté,FR-BFC,39.0
Nouvelle-Aquitaine,FR-NA,45.666666666666664
Occitanie,FR-OC,43.0
Auvergne-Rhône-Alpes,FR-AR,21.0
