date,paysagiste jardin,isPartial
2018-01-07,31,False
2018-01-14,53,False
2018-01-21,69,False
2018-01-28,31,False
2018-02-04,48,False
2018-02-11,43,False
2018-02-18,60,False
2018-02-25,41,False
2018-03-04,59,False
2018-03-11,70,False
2018-03-18,41,False
2018-03-25,47,False
2018-04-01,71,False
2018-04-08,78,False
2018-04-15,58,False
2018-04-22,56,False
2018-04-29,53,False
2018-05-06,57,False
2018-05-13,44,False
2018-05-20,48,False
2018-05-27,66,False
2018-06-03,33,False
2018-06-10,37,False
2018-06-17,52,False
2018-06-24,31,False
2018-07-01,33,False
2018-07-08,45,False
2018-07-15,28,False
2018-07-22,39,False
2018-07-29,51,False
2018-08-05,37,False
2018-08-12,44,False
2018-08-19,51,False
2018-08-26,48,False
2018-09-02,58,False
2018-09-09,42,False
2018-09-16,55,False
2018-09-23,50,False
2018-09-30,39,False
2018-10-07,58,False
2018-10-14,34,False
2018-10-21,29,False
2018-10-28,29,False
2018-11-04,28,False
2018-11-11,38,False
2018-11-18,33,False
2018-11-25,33,False
2018-12-02,18,False
2018-12-09,27,False
2018-12-16,24,False
2018-12-23,15,False
2018-12-30,48,False
2019-01-06,28,False
2019-01-13,28,False
2019-01-20,30,False
2019-01-27,40,False
2019-02-03,40,False
2019-02-10,36,False
2019-02-17,45,False
2019-02-24,94,False
2019-03-03,38,False
2019-03-10,53,False
2019-03-17,56,False
2019-03-24,72,False
2019-03-31,54,False
2019-04-07,53,False
2019-04-14,40,False
2019-04-21,53,False
2019-04-28,43,False
2019-05-05,51,False
2019-05-12,71,False
2019-05-19,35,False
2019-05-26,54,False
2019-06-02,41,False
2019-06-09,37,False
2019-06-16,44,False
2019-06-23,33,False
2019-06-30,43,False
2019-07-07,35,False
2019-07-14,52,False
2019-07-21,32,False
2019-07-28,33,False
2019-08-04,33,False
2019-08-11,33,False
2019-08-18,32,False
2019-08-25,36,False
2019-09-01,49,False
2019-09-08,54,False
2019-09-15,44,False
2019-09-22,54,False
2019-09-29,35,False
2019-10-06,29,False
2019-10-13,36,False
2019-10-20,24,False
2019-10-27,45,False
2019-11-03,32,False
2019-11-10,28,False
2019-11-17,32,False
2019-11-24,18,False
2019-12-01,30,False
2019-12-08,18,False
2019-12-15,21,False
2019-12-22,19,False
2019-12-29,35,False
2020-01-05,43,False
2020-01-12,51,False
2020-01-19,48,False
2020-01-26,44,False
2020-02-02,60,False
2020-02-09,56,False
2020-02-16,54,False
2020-02-23,46,False
2020-03-01,51,False
2020-03-08,42,False
2020-03-15,43,False
2020-03-22,64,False
2020-03-29,28,False
2020-04-05,54,False
2020-04-12,94,False
2020-04-19,62,False
2020-04-26,64,False
2020-05-03,63,False
2020-05-10,68,False
2020-05-17,73,False
2020-05-24,81,False
2020-05-31,63,False
2020-06-07,68,False
2020-06-14,48,False
2020-06-21,100,True
