geoName,geoCode,desatascos
Andalusia,ES-AN,43
Aragon,ES-AR,70
Asturias,ES-AS,30
Balearic Islands,ES-IB,20
Basque Country,ES-PV,17
Canary Islands,ES-CN,100
Cantabria,ES-CB,48
Castile and León,ES-CL,39
Castile-La Mancha,ES-CM,29
Catalonia,ES-CT,37
Ceuta,ES-CE,0
Community of Madrid,ES-MD,26
Extremadura,ES-EX,64
Galicia,ES-GA,13
La Rioja,ES-RI,38
Melilla,ES-ML,0
Navarre,ES-NC,32
Region of Murcia,ES-MC,49
Valencian Community,ES-VC,37
