geoName,geoCode,vestiti uomo
Abruzzo,IT-65,77
Aosta,IT-23,0
Apulia,IT-75,65
Basilicata,IT-77,100
Calabria,IT-78,83
Campania,IT-72,72
Emilia-Romagna,IT-45,60
Friuli-Venezia Giulia,IT-36,47
Lazio,IT-62,41
Liguria,IT-42,46
Lombardy,IT-25,44
Marche,IT-57,56
Molise,IT-67,84
Piedmont,IT-21,53
Sardinia,IT-88,31
Sicily,IT-82,70
Trentino-Alto Adige/South Tyrol,IT-32,30
Tuscany,IT-52,46
Umbria,IT-55,32
Veneto,IT-34,48
