geoName,geoCode,Verdunkelungsrollo
Burgenland,AT-1,0
Carinthia,AT-2,100
Lower Austria,AT-3,56
Salzburg,AT-5,52
Styria,AT-6,94
Tyrol,AT-7,57
Upper Austria,AT-4,54
Vienna,AT-9,47
Vorarlberg,AT-8,0
