geoName,geoCode,freie Hochzeit,Hochzeit Standesamt,Hochzeit Kirche
Baden-Württemberg,DE-BW,7,63,30
Bavaria,DE-BY,8,65,27
Berlin,DE-BE,5,85,10
Brandenburg,DE-BB,0,100,0
Bremen,DE-HB,0,100,0
Hamburg,DE-HH,0,77,23
Hesse,DE-HE,16,65,19
Lower Saxony,DE-NI,13,65,22
Mecklenburg-Vorpommern,DE-MV,0,100,0
North Rhine-Westphalia,DE-NW,10,67,23
Rhineland-Palatinate,DE-RP,13,69,18
Saarland,DE-SL,0,75,25
Saxony,DE-SN,21,71,8
Saxony-Anhalt,DE-ST,0,100,0
Schleswig-Holstein,DE-SH,6,59,35
Thuringia,DE-TH,0,100,0
