date,freie Hochzeit,Hochzeit Standesamt,Hochzeit Kirche,isPartial
2018-01-07,12,64,20,False
2018-01-14,6,57,26,False
2018-01-21,12,45,34,False
2018-01-28,8,42,36,False
2018-02-04,6,35,23,False
2018-02-11,8,37,31,False
2018-02-18,2,47,27,False
2018-02-25,4,36,26,False
2018-03-04,6,53,16,False
2018-03-11,6,60,24,False
2018-03-18,4,42,22,False
2018-03-25,4,45,43,False
2018-04-01,0,72,33,False
2018-04-08,10,43,35,False
2018-04-15,0,52,29,False
2018-04-22,8,24,31,False
2018-04-29,4,49,36,False
2018-05-06,4,51,26,False
2018-05-13,8,58,100,False
2018-05-20,6,52,80,False
2018-05-27,6,44,42,False
2018-06-03,8,39,21,False
2018-06-10,12,69,31,False
2018-06-17,4,61,22,False
2018-06-24,12,33,20,False
2018-07-01,16,54,28,False
2018-07-08,14,54,34,False
2018-07-15,6,37,23,False
2018-07-22,0,48,27,False
2018-07-29,8,34,40,False
2018-08-05,12,52,37,False
2018-08-12,4,51,53,False
2018-08-19,6,34,36,False
2018-08-26,12,39,25,False
2018-09-02,4,33,39,False
2018-09-09,12,49,20,False
2018-09-16,6,49,35,False
2018-09-23,6,29,29,False
2018-09-30,8,55,14,False
2018-10-07,6,53,20,False
2018-10-14,2,58,29,False
2018-10-21,0,40,10,False
2018-10-28,8,38,18,False
2018-11-04,4,39,25,False
2018-11-11,4,55,10,False
2018-11-18,2,40,13,False
2018-11-25,10,30,14,False
2018-12-02,6,21,8,False
2018-12-09,4,34,12,False
2018-12-16,4,28,12,False
2018-12-23,0,35,21,False
2018-12-30,13,65,19,False
2019-01-06,13,45,28,False
2019-01-13,7,41,22,False
2019-01-20,7,33,19,False
2019-01-27,9,31,7,False
2019-02-03,6,34,22,False
2019-02-10,11,36,13,False
2019-02-17,12,52,25,False
2019-02-24,10,53,16,False
2019-03-03,6,40,25,False
2019-03-10,6,37,20,False
2019-03-17,4,36,24,False
2019-03-24,0,33,37,False
2019-03-31,2,49,25,False
2019-04-07,4,44,30,False
2019-04-14,8,34,34,False
2019-04-21,8,43,20,False
2019-04-28,6,36,23,False
2019-05-05,9,58,39,False
2019-05-12,10,50,38,False
2019-05-19,13,30,28,False
2019-05-26,12,43,35,False
2019-06-02,4,25,29,False
2019-06-09,12,47,34,False
2019-06-16,14,44,28,False
2019-06-23,6,35,31,False
2019-06-30,23,31,33,False
2019-07-07,4,36,42,False
2019-07-14,20,40,28,False
2019-07-21,8,56,15,False
2019-07-28,4,47,20,False
2019-08-04,14,57,28,False
2019-08-11,8,51,25,False
2019-08-18,8,47,24,False
2019-08-25,12,47,20,False
2019-09-01,11,42,26,False
2019-09-08,13,50,21,False
2019-09-15,8,46,29,False
2019-09-22,7,41,24,False
2019-09-29,9,36,28,False
2019-10-06,6,34,9,False
2019-10-13,4,61,15,False
2019-10-20,6,43,6,False
2019-10-27,4,47,9,False
2019-11-03,3,35,17,False
2019-11-10,2,23,16,False
2019-11-17,7,36,11,False
2019-11-24,5,23,7,False
2019-12-01,2,32,20,False
2019-12-08,4,42,7,False
2019-12-15,2,13,20,False
2019-12-22,4,31,8,False
2019-12-29,8,51,21,False
2020-01-05,16,64,14,False
2020-01-12,7,62,25,False
2020-01-19,17,57,29,False
2020-01-26,7,55,19,False
2020-02-02,7,44,29,False
2020-02-09,3,58,8,False
2020-02-16,9,55,21,False
2020-02-23,7,45,13,False
2020-03-01,10,43,20,False
2020-03-08,3,27,17,False
2020-03-15,2,38,12,False
2020-03-22,6,20,5,False
2020-03-29,6,26,9,False
2020-04-05,3,27,12,False
2020-04-12,3,32,10,False
2020-04-19,5,40,14,False
2020-04-26,5,50,18,False
2020-05-03,0,70,14,True
