geoName,geoCode_x,matrimonio bucolico,matrimonio romantico,matrimonio tradizionale,matrimonio in spiaggia_x,matrimonio originale,geoCode_y,matrimonio in spiaggia_y,matrimonio country chic,matrimonio elegante
Abruzzo,IT-65,0.0,0.0,0.0,0.0,0.0,IT-65,0,0,0
Aosta,IT-23,0.0,0.0,0.0,0.0,0.0,IT-23,0,0,0
Apulia,IT-75,0.0,0.0,0.0,0.0,0.0,IT-75,50,0,50
Basilicata,IT-77,0.0,0.0,0.0,0.0,0.0,IT-77,0,0,0
Calabria,IT-78,0.0,0.0,0.0,0.0,0.0,IT-78,0,0,100
Campania,IT-72,0.0,0.0,0.0,76.6260162601626,0.0,IT-72,36,0,64
Emilia-Romagna,IT-45,0.0,0.0,0.0,76.6260162601626,0.0,IT-45,100,0,0
Friuli-Venezia Giulia,IT-36,0.0,0.0,0.0,0.0,0.0,IT-36,0,0,0
Lazio,IT-62,0.0,0.0,0.0,76.6260162601626,0.0,IT-62,53,12,35
Liguria,IT-42,0.0,0.0,0.0,0.0,0.0,IT-42,0,0,0
Lombardy,IT-25,0.0,13.792682926829269,0.0,35.2479674796748,27.585365853658537,IT-25,31,19,50
Marche,IT-57,0.0,0.0,0.0,0.0,0.0,IT-57,0,0,0
Molise,IT-67,0.0,0.0,0.0,0.0,0.0,IT-67,0,0,0
Piedmont,IT-21,0.0,0.0,0.0,0.0,0.0,IT-21,0,0,0
Sardinia,IT-88,0.0,0.0,0.0,0.0,0.0,IT-88,0,0,0
Sicily,IT-82,0.0,0.0,0.0,76.6260162601626,0.0,IT-82,57,0,43
Trentino-Alto Adige/South Tyrol,IT-32,0.0,0.0,0.0,0.0,0.0,IT-32,0,0,0
Tuscany,IT-52,0.0,0.0,0.0,0.0,0.0,IT-52,0,0,100
Umbria,IT-55,0.0,0.0,0.0,0.0,0.0,IT-55,0,0,0
Veneto,IT-34,0.0,0.0,0.0,76.6260162601626,0.0,IT-34,50,0,50
