date,mariage chic _x,mariage nature ,mariage romantique ,mariage original ,mariage traditionnel ,isPartial_x,mariage chic _y,mariage élégant ,mariage bohème ,mariage champêtre ,mariage glamour ,isPartial_y,mariage chic ,mariage vintage,mariage plage ,isPartial
2018-01-07,0,0,0,0,0,False,38,0,38,0,0,False,38,0,0,False
2018-01-14,38,0,0,50,0,False,39,0,0,0,0,False,39,19,0,False
2018-01-21,0,0,25,0,0,False,39,0,0,19,0,False,39,0,29,False
2018-01-28,0,0,26,39,0,False,100,0,20,0,0,False,100,0,20,False
2018-02-04,25,0,25,25,0,False,19,0,0,0,0,False,19,19,0,False
2018-02-11,63,0,0,0,0,False,68,0,78,0,0,False,68,0,19,False
2018-02-18,39,0,0,0,0,False,41,0,0,0,0,False,41,0,0,False
2018-02-25,24,0,0,37,0,False,19,0,0,19,0,False,19,0,0,False
2018-03-04,37,0,0,0,0,False,38,0,0,0,0,False,38,0,19,False
2018-03-11,77,0,0,0,0,False,20,0,20,20,0,False,20,40,0,False
2018-03-18,25,0,0,50,0,False,19,0,0,0,0,False,19,0,0,False
2018-03-25,38,0,0,0,0,False,20,0,20,0,0,False,20,0,0,False
2018-04-01,39,0,26,26,0,False,20,0,0,0,0,False,20,20,0,False
2018-04-08,83,0,0,24,0,False,55,0,19,18,0,False,55,37,37,False
2018-04-15,69,0,0,28,0,False,43,0,21,0,0,False,43,0,0,False
2018-04-22,66,0,26,26,0,False,61,0,0,0,0,False,61,0,20,False
2018-04-29,0,0,0,0,0,False,57,0,0,19,0,False,57,19,0,False
2018-05-06,100,0,0,37,0,False,77,0,0,0,0,False,77,0,0,False
2018-05-13,25,0,0,25,0,False,39,0,0,0,0,False,39,19,19,False
2018-05-20,52,0,0,26,0,False,20,0,0,0,0,False,20,0,20,False
2018-05-27,50,0,0,0,0,False,39,0,0,0,0,False,39,0,0,False
2018-06-03,51,0,0,51,0,False,29,0,0,0,0,False,29,0,19,False
2018-06-10,24,0,0,24,0,False,19,0,19,19,0,False,19,0,0,False
2018-06-17,25,0,0,52,0,False,79,0,0,0,0,False,79,0,0,False
2018-06-24,26,0,0,51,0,False,20,0,20,39,0,False,20,0,0,False
2018-07-01,24,0,0,25,0,False,0,0,0,0,0,False,0,19,19,False
2018-07-08,24,0,0,0,0,False,19,0,19,19,0,False,19,0,0,False
2018-07-15,25,0,0,0,0,False,19,0,0,0,0,False,19,0,19,False
2018-07-22,48,0,0,24,0,False,18,0,0,0,0,False,18,0,19,False
2018-07-29,0,0,0,24,0,False,0,0,0,0,0,False,0,18,18,False
2018-08-05,22,0,22,22,0,False,26,0,0,0,0,False,26,17,17,False
2018-08-12,23,0,23,23,0,False,35,0,17,0,0,False,35,0,18,False
2018-08-19,24,0,0,24,0,False,18,0,0,0,0,False,18,18,0,False
2018-08-26,37,0,0,37,0,False,38,0,19,0,0,False,38,0,19,False
2018-09-02,25,0,0,50,0,False,19,0,0,0,0,False,19,0,59,False
2018-09-09,38,0,51,63,0,False,29,0,19,0,0,False,29,0,0,False
2018-09-16,26,0,0,0,0,False,20,0,0,0,0,False,20,0,30,False
2018-09-23,26,0,26,0,0,False,20,0,0,20,0,False,20,20,20,False
2018-09-30,26,0,0,26,0,False,20,0,0,0,0,False,20,0,40,False
2018-10-07,38,0,0,26,0,False,20,0,20,0,0,False,20,0,0,False
2018-10-14,26,0,0,0,0,False,30,0,0,0,0,False,30,0,0,False
2018-10-21,27,0,27,27,0,False,21,0,0,0,0,False,21,0,0,False
2018-10-28,26,0,0,0,0,False,30,0,20,20,0,False,30,0,0,False
2018-11-04,38,0,0,25,0,False,39,0,19,0,0,False,39,0,0,False
2018-11-11,0,0,0,52,0,False,0,0,0,0,0,False,0,20,0,False
2018-11-18,25,0,0,0,0,False,19,0,0,19,0,False,19,0,19,False
2018-11-25,52,0,0,0,0,False,40,0,0,0,0,False,40,0,0,False
2018-12-02,0,0,0,0,0,False,0,0,0,0,0,False,0,0,0,False
