date,freie Hochzeit,Hochzeit Standesamt,Hochzeit Kirche,isPartial
2018-01-07,7,49,21,False
2018-01-14,10,64,14,False
2018-01-21,14,28,28,False
2018-01-28,14,48,52,False
2018-02-04,0,28,32,False
2018-02-11,11,39,14,False
2018-02-18,7,17,21,False
2018-02-25,0,42,17,False
2018-03-04,14,50,21,False
2018-03-11,10,45,35,False
2018-03-18,0,31,14,False
2018-03-25,37,41,26,False
2018-04-01,15,22,19,False
2018-04-08,7,14,25,False
2018-04-15,7,36,25,False
2018-04-22,7,41,21,False
2018-04-29,18,58,47,False
2018-05-06,7,51,26,False
2018-05-13,14,72,100,False
2018-05-20,22,33,70,False
2018-05-27,7,48,42,False
2018-06-03,7,46,28,False
2018-06-10,7,27,13,False
2018-06-17,0,37,17,False
2018-06-24,14,18,28,False
2018-07-01,21,34,17,False
2018-07-08,7,47,47,False
2018-07-15,14,39,36,False
2018-07-22,14,40,25,False
2018-07-29,7,63,22,False
2018-08-05,15,47,26,False
2018-08-12,29,44,26,False
2018-08-19,7,43,29,False
2018-08-26,18,53,32,False
2018-09-02,7,39,18,False
2018-09-09,7,39,18,False
2018-09-16,21,57,11,False
2018-09-23,14,53,7,False
2018-09-30,0,42,14,False
2018-10-07,21,42,21,False
2018-10-14,7,39,11,False
2018-10-21,0,21,14,False
2018-10-28,14,28,14,False
2018-11-04,0,51,17,False
2018-11-11,7,41,7,False
2018-11-18,7,40,30,False
2018-11-25,0,37,13,False
2018-12-02,7,30,17,False
2018-12-09,0,24,20,False
2018-12-16,0,14,14,False
2018-12-23,16,32,24,False
2018-12-30,15,22,14,False
2019-01-06,19,29,26,False
2019-01-13,6,48,13,False
2019-01-20,6,38,13,False
2019-01-27,6,45,13,False
2019-02-03,6,35,13,False
2019-02-10,13,23,27,False
2019-02-17,20,26,23,False
2019-02-24,10,27,24,False
2019-03-03,0,39,20,False
2019-03-10,19,76,19,False
2019-03-17,0,34,30,False
2019-03-24,0,30,37,False
2019-03-31,0,33,33,False
2019-04-07,0,44,24,False
2019-04-14,15,40,15,False
2019-04-21,11,21,14,False
2019-04-28,7,43,33,False
2019-05-05,16,42,36,False
2019-05-12,10,30,20,False
2019-05-19,13,23,26,False
2019-05-26,7,14,24,False
2019-06-02,13,13,33,False
2019-06-09,17,34,13,False
2019-06-16,24,27,27,False
2019-06-23,14,41,27,False
2019-06-30,17,26,20,False
2019-07-07,6,33,20,False
2019-07-14,10,42,21,False
2019-07-21,7,30,26,False
2019-07-28,7,25,33,False
2019-08-04,11,40,29,False
2019-08-11,21,53,25,False
2019-08-18,7,52,31,False
2019-08-25,7,27,20,False
2019-09-01,7,36,20,False
2019-09-08,13,43,13,False
2019-09-15,13,54,17,False
2019-09-22,13,29,20,False
2019-09-29,13,33,13,False
2019-10-06,13,42,6,False
2019-10-13,16,42,39,False
2019-10-20,7,39,13,False
2019-10-27,6,32,6,False
2019-11-03,12,34,21,False
2019-11-10,6,31,19,False
2019-11-17,6,24,12,False
2019-11-24,6,33,6,False
2019-12-01,6,21,9,False
2019-12-08,6,36,6,False
2019-12-15,6,25,6,False
2019-12-22,7,39,7,False
2019-12-29,7,54,10,False
2020-01-05,12,45,24,False
2020-01-12,11,43,23,False
2020-01-19,15,23,29,False
2020-01-26,12,23,9,False
2020-02-02,6,52,14,False
2020-02-09,14,26,9,False
2020-02-16,6,47,6,False
2020-02-23,0,45,14,False
2020-03-01,6,31,11,False
2020-03-08,5,24,11,False
2020-03-15,5,45,11,False
2020-03-22,5,24,5,False
2020-03-29,5,32,5,False
2020-04-05,9,14,6,False
2020-04-12,5,19,5,False
2020-04-19,5,43,16,False
2020-04-26,0,53,10,False
2020-05-03,0,67,12,True
