geoName,matrimonio country chic,matrimonio bucolico,matrimonio originale,matrimonio romantico,geoCode,matrimonio elegante,matrimonio in spiaggia,matrimonio tradizionale
Abruzzo,0,0,0,0,IT-65,0,0,0
Aosta,0,0,0,0,IT-23,0,0,0
Apulia,0,0,0,0,IT-75,63,37,0
Basilicata,0,0,0,0,IT-77,0,0,0
Calabria,0,0,0,0,IT-78,100,0,0
Campania,0,0,0,0,IT-72,62,38,0
Emilia-Romagna,0,0,0,0,IT-45,40,60,0
Friuli-Venezia Giulia,0,0,0,0,IT-36,0,0,0
Lazio,44,0,0,0,IT-62,38,62,0
Liguria,0,0,0,0,IT-42,0,0,0
Lombardy,12,0,25,19,IT-25,58,42,0
Marche,0,0,0,0,IT-57,0,0,0
Molise,0,0,0,0,IT-67,0,0,0
Piedmont,0,0,0,0,IT-21,100,0,0
Sardinia,0,0,0,0,IT-88,0,0,0
Sicily,0,0,0,0,IT-82,100,0,0
Trentino-Alto Adige/South Tyrol,0,0,0,0,IT-32,0,0,0
Tuscany,0,0,0,0,IT-52,0,0,0
Umbria,0,0,0,0,IT-55,0,0,0
Veneto,0,0,0,0,IT-34,78,22,0
