date,matrimonio country chic,matrimonio bucolico,matrimonio originale,matrimonio romantico,matrimonio elegante,matrimonio in spiaggia,matrimonio tradizionale
2018-01-07,12,0,25,25,32,19,0
2018-01-14,12,0,25,25,50,19,12
2018-01-21,37,12,0,25,68,25,0
2018-01-28,18,12,12,37,43,18,12
2018-02-04,24,25,18,37,55,37,12
2018-02-11,12,0,12,12,50,19,0
2018-02-18,12,0,42,0,12,12,0
2018-02-25,23,12,12,12,53,24,0
2018-03-04,12,0,12,24,42,18,0
2018-03-11,36,0,24,12,18,36,12
2018-03-18,12,0,12,18,61,42,12
2018-03-25,13,0,26,0,70,26,0
2018-04-01,13,0,40,0,53,40,0
2018-04-08,18,12,25,12,37,25,0
2018-04-15,13,0,13,19,95,44,13
2018-04-22,26,0,46,20,52,65,0
2018-04-29,13,0,0,38,76,38,0
2018-05-06,25,0,12,12,80,31,0
2018-05-13,0,0,31,19,62,55,0
2018-05-20,19,0,13,19,74,56,0
2018-05-27,19,0,13,19,88,37,0
2018-06-03,12,0,0,25,44,38,25
2018-06-10,12,12,30,0,48,24,12
2018-06-17,25,0,12,25,62,50,12
2018-06-24,13,0,32,13,38,25,0
2018-07-01,12,0,25,31,62,31,0
2018-07-08,18,0,31,25,86,37,0
2018-07-15,19,0,13,0,57,51,13
2018-07-22,19,0,38,13,57,63,13
2018-07-29,26,13,26,0,45,26,13
2018-08-05,13,13,13,0,46,33,0
2018-08-12,28,0,21,14,14,42,14
2018-08-19,20,0,14,14,68,55,0
2018-08-26,38,13,19,13,94,38,13
2018-09-02,12,0,12,30,91,18,0
2018-09-09,24,0,18,12,48,18,0
2018-09-16,24,0,24,12,71,71,12
2018-09-23,18,0,18,24,30,43,12
2018-09-30,12,0,12,12,18,30,25
2018-10-07,12,0,12,12,25,31,12
2018-10-14,12,0,38,13,38,13,12
2018-10-21,0,0,12,0,31,25,0
2018-10-28,0,0,0,0,12,12,0
2018-11-04,24,0,18,12,36,12,0
2018-11-11,12,0,0,0,19,19,0
2018-11-18,0,0,12,0,49,24,0
2018-11-25,18,0,49,25,37,49,0
2018-12-02,0,0,12,0,12,25,0
2018-12-09,13,0,0,0,38,13,0
2018-12-16,0,0,13,0,26,26,0
2018-12-23,15,0,0,15,15,15,15
2018-12-30,20,0,41,0,20,34,13
2019-01-06,0,0,25,12,19,25,0
2019-01-13,42,0,12,12,66,42,0
2019-01-20,29,0,23,12,12,12,0
2019-01-27,17,0,11,12,92,29,11
2019-02-03,0,0,12,0,59,12,0
2019-02-10,12,12,0,24,24,12,12
2019-02-17,12,0,24,12,54,18,0
2019-02-24,12,0,12,24,72,36,0
2019-03-03,12,12,13,19,56,19,0
2019-03-10,36,0,24,18,36,36,25
2019-03-17,31,0,25,12,74,25,0
2019-03-24,0,0,19,12,43,31,12
2019-03-31,0,0,25,25,67,37,0
2019-04-07,24,0,36,12,48,18,12
2019-04-14,13,0,13,0,57,13,0
2019-04-21,0,0,13,13,53,13,0
2019-04-28,24,0,18,0,73,37,0
2019-05-05,12,0,24,12,65,18,0
2019-05-12,12,0,12,35,64,23,12
2019-05-19,0,0,24,18,65,12,0
2019-05-26,17,0,34,11,40,40,0
2019-06-02,12,0,24,30,61,24,0
2019-06-09,12,0,18,0,61,25,12
2019-06-16,0,0,18,0,61,25,0
2019-06-23,13,13,32,13,32,44,19
2019-06-30,13,13,13,25,50,38,0
2019-07-07,18,0,18,12,48,42,0
2019-07-14,0,0,12,12,37,62,0
2019-07-21,19,0,12,25,50,31,12
2019-07-28,25,0,13,26,51,45,13
2019-08-04,13,0,20,0,33,26,13
2019-08-11,28,0,14,0,14,70,0
2019-08-18,13,0,0,13,39,45,13
2019-08-25,12,0,24,18,36,60,12
2019-09-01,34,11,23,17,73,45,11
2019-09-08,12,0,35,12,100,59,0
2019-09-15,17,0,11,11,45,23,0
2019-09-22,11,0,23,11,51,23,11
2019-09-29,0,0,11,23,23,17,11
2019-10-06,11,0,23,23,35,46,11
2019-10-13,0,0,17,12,23,35,12
2019-10-20,17,11,17,11,34,11,0
2019-10-27,22,0,11,23,11,22,11
2019-11-03,11,0,16,11,16,22,11
2019-11-10,11,0,11,11,22,17,0
2019-11-17,0,0,11,17,44,11,0
2019-11-24,0,0,11,11,27,0,0
2019-12-01,11,11,11,12,17,23,0
2019-12-08,0,0,12,12,23,12,0
2019-12-15,0,0,12,12,17,0,0
2019-12-22,13,0,27,13,20,53,0
2019-12-29,13,0,0,25,25,13,0
2020-01-05,17,0,34,17,79,22,0
2020-01-12,11,0,21,11,32,32,0
2020-01-19,11,0,11,16,38,27,0
2020-01-26,11,0,0,11,64,32,0
2020-02-02,0,10,16,10,42,21,0
2020-02-09,11,0,16,11,43,38,0
2020-02-16,11,11,21,0,48,27,0
2020-02-23,10,0,10,10,25,20,0
2020-03-01,30,10,10,0,35,10,0
2020-03-08,0,0,10,19,24,10,0
2020-03-15,10,10,10,10,19,29,0
2020-03-22,0,0,9,9,14,14,0
2020-03-29,9,0,19,0,9,19,0
2020-04-05,0,0,15,0,10,10,10
2020-04-12,19,0,10,29,20,20,0
2020-04-19,0,9,9,19,9,19,0
2020-04-26,0,0,0,14,28,23,0
2020-05-03,11,0,11,27,22,0,18
