geoName,geoCode_x,mariage chic ,mariage nature ,mariage romantique ,mariage original ,mariage traditionnel ,geoCode_y,mariage élégant ,mariage bohème ,mariage champêtre ,mariage glamour ,mariage vintage
Alsace,FR-A,75,0,0,25,0,FR-A,0,0,0,0,0
Aquitaine,FR-B,59,14,9,18,0,FR-B,0,30,37,0,33
Auvergne,FR-C,85,0,0,15,0,FR-C,0,0,0,0,0
Brittany,FR-E,68,10,0,22,0,FR-E,0,28,44,0,28
Burgundy,FR-D,75,0,0,25,0,FR-D,0,0,0,0,0
Centre-Val de Loire,FR-F,68,0,0,32,0,FR-F,0,23,46,0,31
Champagne-Ardenne,FR-G,67,0,0,33,0,FR-G,0,0,0,0,0
Corsica,FR-H,0,0,0,0,0,FR-H,0,0,0,0,0
Franche-Comté,FR-I,69,0,0,31,0,FR-I,0,0,0,0,0
Languedoc-Roussillon,FR-K,81,0,9,10,0,FR-K,0,43,14,0,43
Limousin,FR-L,30,20,0,50,0,FR-L,0,0,0,0,0
Lorraine,FR-M,71,0,0,29,0,FR-M,0,28,43,0,29
Lower Normandy,FR-P,87,0,0,13,0,FR-P,0,0,0,0,0
Midi-Pyrénées,FR-N,69,0,0,31,0,FR-N,0,56,22,0,22
Nord-Pas-de-Calais,FR-O,50,12,11,27,0,FR-O,0,40,37,0,23
Pays de la Loire,FR-R,55,9,7,29,0,FR-R,0,37,32,0,31
Picardy,FR-S,71,0,0,29,0,FR-S,0,0,100,0,0
Poitou-Charentes,FR-T,73,0,0,27,0,FR-T,0,0,0,0,0
Provence-Alpes-Côte d'Azur,FR-U,65,8,3,24,0,FR-U,0,33,29,0,38
Rhone-Alpes,FR-V,48,7,7,31,7,FR-V,0,40,38,0,22
Upper Normandy,FR-Q,57,0,0,43,0,FR-Q,0,0,100,0,0
Île-de-France,FR-J,51,9,9,22,9,FR-J,0,35,16,9,40
