date,mariage chic _x,mariage nature ,mariage romantique ,mariage original ,mariage traditionnel ,isPartial_x,mariage chic _y,mariage élégant ,mariage bohème ,mariage champêtre ,mariage glamour ,isPartial_y,mariage chic ,mariage vintage,mariage plage ,isPartial
2018-01-07,43,11,15,52,3,False,38,2,6,7,4,False,38,6,8,False
2018-01-14,60,11,17,46,7,False,57,0,7,12,2,False,57,18,13,False
2018-01-21,71,11,5,36,6,False,63,0,14,11,2,False,63,15,7,False
2018-01-28,44,10,13,44,4,False,57,0,11,5,4,False,57,12,10,False
2018-02-04,63,7,5,35,5,False,54,0,7,4,2,False,54,15,8,False
2018-02-11,55,5,14,40,10,False,52,0,7,11,4,False,52,17,7,False
2018-02-18,66,12,13,50,3,False,68,0,11,11,2,False,68,16,15,False
2018-02-25,75,13,13,43,10,False,61,2,7,8,2,False,61,12,10,False
2018-03-04,72,19,13,41,5,False,75,0,16,5,2,False,75,13,8,False
2018-03-11,44,6,14,34,4,False,39,0,6,8,4,False,39,16,17,False
2018-03-18,57,6,5,42,4,False,74,0,16,10,0,False,74,13,13,False
2018-03-25,69,9,13,46,4,False,62,0,5,9,0,False,62,15,9,False
2018-04-01,71,14,8,39,4,False,74,0,7,9,4,False,74,23,9,False
2018-04-08,82,6,8,32,8,False,92,2,12,7,2,False,92,19,7,False
2018-04-15,67,11,15,27,8,False,65,0,16,8,5,False,65,10,9,False
2018-04-22,81,11,3,29,8,False,90,0,10,9,2,False,90,29,11,False
2018-04-29,87,5,13,44,8,False,96,3,14,7,2,False,96,14,10,False
2018-05-06,94,16,16,42,3,False,93,3,15,4,3,False,93,20,13,False
2018-05-13,94,9,15,53,5,False,79,5,6,7,2,False,79,15,18,False
2018-05-20,100,11,18,47,12,False,100,0,7,4,4,False,100,20,13,False
2018-05-27,78,8,9,48,5,False,74,0,12,10,0,False,74,16,18,False
2018-06-03,73,15,8,47,8,False,63,0,11,11,2,False,63,18,12,False
2018-06-10,56,15,15,45,5,False,51,0,7,9,0,False,51,19,12,False
2018-06-17,55,6,13,45,5,False,60,0,10,10,5,False,60,15,13,False
2018-06-24,58,8,4,40,5,False,60,0,10,7,0,False,60,10,11,False
2018-07-01,50,13,14,40,2,False,43,5,8,7,0,False,43,14,22,False
2018-07-08,60,8,13,30,3,False,51,0,6,10,2,False,51,6,12,False
2018-07-15,44,7,4,36,7,False,39,0,18,8,3,False,39,14,17,False
2018-07-22,57,3,11,42,5,False,55,0,7,7,3,False,55,13,20,False
2018-07-29,55,11,6,42,3,False,57,0,11,4,0,False,57,16,17,False
2018-08-05,59,4,13,48,7,False,42,0,11,5,3,False,42,16,20,False
2018-08-12,71,13,16,36,7,False,57,0,11,14,4,False,57,16,20,False
2018-08-19,68,10,11,53,3,False,49,0,14,9,8,False,49,26,20,False
2018-08-26,48,3,11,53,4,False,41,0,10,6,0,False,41,9,16,False
2018-09-02,47,8,9,42,5,False,51,0,14,14,5,False,51,6,11,False
2018-09-09,60,5,12,43,4,False,58,0,9,6,0,False,58,10,12,False
2018-09-16,45,12,13,45,6,False,51,2,4,10,7,False,51,15,7,False
2018-09-23,44,16,13,34,3,False,45,0,14,2,0,False,45,15,15,False
2018-09-30,35,8,19,34,4,False,34,0,7,7,2,False,34,7,5,False
2018-10-07,37,10,9,33,6,False,34,0,6,7,2,False,34,20,10,False
2018-10-14,47,9,14,32,3,False,43,0,10,7,6,False,43,12,7,False
2018-10-21,29,5,10,26,4,False,47,0,4,4,0,False,47,7,9,False
2018-10-28,31,4,10,30,3,False,41,0,6,10,3,False,41,11,4,False
2018-11-04,25,8,6,24,9,False,44,0,7,7,2,False,44,7,0,False
2018-11-11,34,5,9,32,5,False,42,0,5,5,0,False,42,12,13,False
2018-11-18,25,5,2,25,6,False,15,0,9,6,4,False,15,5,6,False
2018-11-25,29,11,6,16,4,False,28,0,6,2,2,False,28,6,5,False
2018-12-02,21,6,5,14,5,False,24,0,4,7,2,False,24,8,12,False
2018-12-09,17,3,6,21,5,False,15,0,5,4,0,False,15,11,7,False
2018-12-16,22,9,5,16,4,False,21,0,0,5,0,False,21,6,2,False
2018-12-23,26,10,9,21,3,False,25,0,7,3,0,False,25,3,8,False
2018-12-30,39,4,11,28,4,False,43,0,4,5,3,False,43,4,13,False
2019-01-06,50,8,9,25,11,False,48,0,10,8,2,False,48,12,5,False
2019-01-13,64,11,14,39,3,False,53,0,2,7,0,False,53,17,10,False
2019-01-20,56,15,7,17,10,False,42,0,10,8,5,False,42,19,11,False
2019-01-27,45,10,12,29,6,False,37,0,7,6,0,False,37,9,8,False
2019-02-03,56,16,10,17,6,False,60,0,7,9,4,False,60,12,6,False
2019-02-10,73,12,9,18,4,False,61,0,6,7,0,False,61,9,11,False
2019-02-17,80,5,7,35,10,False,67,3,12,7,2,False,67,11,11,False
2019-02-24,77,11,10,20,5,False,79,0,8,22,2,False,79,19,15,False
2019-03-03,73,12,10,32,6,False,78,0,13,11,2,False,78,14,9,False
2019-03-10,69,5,4,28,5,False,55,0,8,5,2,False,55,12,11,False
2019-03-17,73,5,10,33,3,False,57,2,9,10,4,False,57,11,6,False
2019-03-24,73,5,3,30,3,False,68,0,9,9,6,False,68,16,11,False
2019-03-31,68,4,13,40,5,False,69,2,16,10,2,False,69,8,10,False
2019-04-07,76,9,12,35,13,False,66,0,11,7,0,False,66,12,14,False
2019-04-14,81,9,4,29,4,False,71,0,15,14,3,False,71,10,9,False
2019-04-21,72,13,15,36,9,False,75,0,21,13,2,False,75,18,16,False
2019-04-28,83,8,13,41,5,False,74,2,8,7,5,False,74,14,7,False
2019-05-05,83,17,14,33,4,False,84,2,11,14,4,False,84,14,11,False
2019-05-12,71,6,14,31,5,False,75,2,12,11,4,False,75,15,13,False
2019-05-19,85,7,11,26,4,False,54,0,8,11,0,False,54,23,16,False
2019-05-26,75,9,9,29,4,False,81,0,24,7,4,False,81,17,11,False
2019-06-02,71,11,8,47,4,False,61,0,12,13,4,False,61,17,15,False
2019-06-09,59,5,17,39,6,False,65,0,15,14,5,False,65,15,17,False
2019-06-16,78,13,9,35,5,False,77,2,12,11,5,False,77,10,8,False
2019-06-23,63,9,7,27,6,False,57,0,11,6,8,False,57,19,15,False
2019-06-30,50,15,11,43,6,False,63,0,8,5,2,False,63,7,14,False
2019-07-07,64,7,5,39,6,False,56,2,19,15,0,False,56,16,13,False
2019-07-14,52,6,5,22,5,False,61,0,9,7,0,False,61,7,17,False
2019-07-21,53,3,7,51,3,False,55,0,9,5,0,False,55,15,18,False
2019-07-28,49,5,13,39,5,False,44,0,13,10,3,False,44,15,18,False
2019-08-04,63,5,7,34,9,False,63,0,13,14,3,False,63,12,19,False
2019-08-11,60,11,9,29,8,False,61,0,10,6,3,False,61,9,15,False
2019-08-18,43,17,5,38,9,False,47,3,18,9,0,False,47,10,14,False
2019-08-25,59,9,5,30,5,False,55,0,12,9,6,False,55,7,15,False
2019-09-01,48,5,7,24,2,False,40,0,13,6,7,False,40,14,14,False
2019-09-08,51,10,7,50,12,False,40,0,13,8,0,False,40,13,21,False
2019-09-15,54,10,6,38,6,False,53,0,10,13,5,False,53,7,11,False
2019-09-22,59,7,5,35,10,False,56,0,8,10,2,False,56,9,5,False
2019-09-29,48,7,5,26,5,False,34,0,6,13,2,False,34,9,9,False
2019-10-06,32,8,7,31,4,False,40,0,7,7,2,False,40,9,7,False
2019-10-13,41,5,13,33,8,False,45,0,8,9,0,False,45,7,12,False
2019-10-20,41,5,17,11,7,False,26,2,6,9,2,False,26,8,8,False
2019-10-27,49,6,9,33,8,False,43,0,8,14,2,False,43,18,4,False
2019-11-03,35,6,8,17,5,False,34,0,10,3,0,False,34,10,10,False
2019-11-10,31,10,5,24,2,False,46,0,10,4,2,False,46,8,8,False
2019-11-17,34,7,5,22,6,False,23,0,9,10,2,False,23,9,3,False
2019-11-24,25,9,9,18,6,False,30,0,3,11,0,False,30,7,4,False
2019-12-01,35,3,2,16,4,False,30,2,2,5,0,False,30,9,4,False
2019-12-08,26,6,6,16,6,False,31,0,4,11,0,False,31,4,4,False
2019-12-15,14,5,3,10,2,False,24,0,3,6,0,False,24,4,3,False
2019-12-22,23,4,6,17,4,False,22,2,6,7,0,False,22,6,6,False
2019-12-29,47,6,5,21,10,False,39,0,8,9,0,False,39,8,6,False
2020-01-05,57,8,10,31,13,False,44,0,15,8,0,False,44,8,17,False
2020-01-12,51,13,12,30,5,False,49,0,18,10,3,False,49,16,8,False
2020-01-19,61,7,9,27,3,False,48,0,12,18,2,False,48,16,8,False
2020-01-26,68,9,9,32,8,False,66,4,11,8,2,False,66,4,9,False
2020-02-02,66,9,9,32,4,False,65,0,9,13,2,False,65,11,10,False
