date,freie Hochzeit,Hochzeit Standesamt,Hochzeit Kirche,isPartial
2018-01-07,0,37,29,False
2018-01-14,29,74,29,False
2018-01-21,15,44,36,False
2018-01-28,15,44,45,False
2018-02-04,30,15,30,False
2018-02-11,0,30,37,False
2018-02-18,0,23,15,False
2018-02-25,0,45,30,False
2018-03-04,23,15,61,False
2018-03-11,44,89,60,False
2018-03-18,15,15,0,False
2018-03-25,16,64,56,False
2018-04-01,16,49,49,False
2018-04-08,16,47,46,False
2018-04-15,16,47,55,False
2018-04-22,23,31,63,False
2018-04-29,32,48,16,False
2018-05-06,16,32,57,False
2018-05-13,0,46,100,False
2018-05-20,17,58,50,False
2018-05-27,0,83,82,False
2018-06-03,16,55,55,False
2018-06-10,22,52,45,False
2018-06-17,15,61,23,False
2018-06-24,15,38,38,False
2018-07-01,22,59,22,False
2018-07-08,30,30,38,False
2018-07-15,0,61,30,False
2018-07-22,31,23,31,False
2018-07-29,24,32,64,False
2018-08-05,17,84,33,False
2018-08-12,67,51,25,False
2018-08-19,17,51,34,False
2018-08-26,0,33,25,False
2018-09-02,0,32,32,False
2018-09-09,0,39,31,False
2018-09-16,15,78,23,False
2018-09-23,0,55,63,False
2018-09-30,15,16,31,False
2018-10-07,0,46,30,False
2018-10-14,15,45,45,False
2018-10-21,0,52,22,False
2018-10-28,15,82,15,False
2018-11-04,0,43,22,False
2018-11-11,0,22,0,False
2018-11-18,0,35,14,False
2018-11-25,14,22,21,False
2018-12-02,0,50,0,False
2018-12-09,0,36,14,False
2018-12-16,0,30,15,False
2018-12-23,17,52,34,False
2018-12-30,16,63,32,False
2019-01-06,14,48,56,False
2019-01-13,14,48,34,False
2019-01-20,0,55,41,False
2019-01-27,14,48,35,False
2019-02-03,14,69,27,False
2019-02-10,14,56,28,False
2019-02-17,14,28,42,False
2019-02-24,0,65,29,False
2019-03-03,14,22,21,False
2019-03-10,21,42,35,False
2019-03-17,15,15,36,False
2019-03-24,0,43,14,False
2019-03-31,14,35,64,False
2019-04-07,14,28,28,False
2019-04-14,31,31,31,False
2019-04-21,0,76,22,False
2019-04-28,0,36,72,False
2019-05-05,21,62,27,False
2019-05-12,0,64,14,False
2019-05-19,0,56,49,False
2019-05-26,0,36,44,False
2019-06-02,14,29,65,False
2019-06-09,45,53,30,False
2019-06-16,15,30,45,False
2019-06-23,29,50,43,False
2019-06-30,42,28,63,False
2019-07-07,14,83,42,False
2019-07-14,29,43,36,False
2019-07-21,15,44,15,False
2019-07-28,0,30,15,False
2019-08-04,47,64,32,False
2019-08-11,15,68,30,False
2019-08-18,16,39,31,False
2019-08-25,16,63,39,False
2019-09-01,0,37,30,False
2019-09-08,0,57,43,False
2019-09-15,15,36,29,False
2019-09-22,0,28,56,False
2019-09-29,0,64,28,False
2019-10-06,27,14,34,False
2019-10-13,0,47,20,False
2019-10-20,14,40,20,False
2019-10-27,0,61,41,False
2019-11-03,0,59,26,False
2019-11-10,20,54,13,False
2019-11-17,13,39,0,False
2019-11-24,0,52,26,False
2019-12-01,0,47,41,False
2019-12-08,0,13,13,False
2019-12-15,0,0,27,False
2019-12-22,15,23,31,False
2019-12-29,15,30,29,False
2020-01-05,13,84,13,False
2020-01-12,13,31,0,False
2020-01-19,19,51,57,False
2020-01-26,12,44,31,False
2020-02-02,13,56,25,False
2020-02-09,0,25,19,False
2020-02-16,13,26,13,False
2020-02-23,0,37,25,False
2020-03-01,12,37,31,False
2020-03-08,11,17,12,False
2020-03-15,0,69,0,False
2020-03-22,11,11,11,False
2020-03-29,11,23,23,False
2020-04-05,0,25,12,False
2020-04-12,12,35,18,False
2020-04-19,12,34,0,False
2020-04-26,0,39,22,False
2020-05-03,0,64,26,True
