date,bodas vintage,bodas en la playa,bodas pequeñas,bodas bonitas,bodas elegantes_x,isPartial_x,bodas elegantes_y,boda en la playa,bodas online,isPartial_y
2018-01-07,23.28679245283019,0.0,0.0,0.0,0.0,0.0,0,24,24,False
2018-01-14,23.28679245283019,23.28679245283019,0.0,23.28679245283019,23.28679245283019,0.0,24,0,36,False
2018-01-21,0.0,0.0,0.0,23.28679245283019,23.28679245283019,0.0,24,0,48,False
2018-01-28,23.28679245283019,22.60188679245283,0.0,0.0,22.60188679245283,0.0,24,0,0,False
2018-02-04,0.0,0.0,0.0,0.0,45.88867924528302,0.0,47,0,59,False
2018-02-11,23.971698113207548,23.971698113207548,0.0,0.0,0.0,0.0,0,24,61,False
2018-02-18,0.0,23.28679245283019,0.0,23.28679245283019,0.0,0.0,0,0,49,False
2018-02-25,23.28679245283019,23.28679245283019,0.0,0.0,22.60188679245283,0.0,24,24,47,False
2018-03-04,22.60188679245283,0.0,0.0,23.28679245283019,22.60188679245283,0.0,23,0,24,False
2018-03-11,0.0,0.0,0.0,22.60188679245283,22.60188679245283,0.0,23,35,0,False
2018-03-18,23.971698113207548,23.971698113207548,0.0,0.0,23.971698113207548,0.0,25,0,100,False
2018-03-25,0.0,0.0,0.0,0.0,0.0,0.0,0,0,32,False
2018-04-01,0.0,0.0,0.0,0.0,34.93018867924528,0.0,36,24,24,False
2018-04-08,22.60188679245283,0.0,0.0,0.0,0.0,0.0,0,0,23,False
2018-04-15,22.60188679245283,22.60188679245283,0.0,0.0,45.20377358490566,0.0,47,24,0,False
2018-04-22,0.0,0.0,0.0,0.0,22.60188679245283,0.0,24,0,0,False
2018-04-29,0.0,0.0,0.0,0.0,0.0,0.0,0,27,27,False
2018-05-06,0.0,0.0,0.0,0.0,0.0,0.0,0,24,0,False
2018-05-13,0.0,0.0,0.0,23.971698113207548,23.971698113207548,0.0,25,0,49,False
2018-05-20,0.0,0.0,0.0,23.28679245283019,23.28679245283019,0.0,24,0,24,False
2018-05-27,0.0,22.60188679245283,0.0,22.60188679245283,22.60188679245283,0.0,23,23,23,False
2018-06-03,45.20377358490566,0.0,0.0,34.24528301886793,0.0,0.0,0,23,47,False
2018-06-10,0.0,0.0,0.0,22.60188679245283,0.0,0.0,0,23,23,False
2018-06-17,23.971698113207548,0.0,0.0,0.0,0.0,0.0,0,25,25,False
2018-06-24,0.0,24.65660377358491,0.0,0.0,24.65660377358491,0.0,25,51,25,False
2018-07-01,25.341509433962266,0.0,0.0,51.36792452830189,26.026415094339626,0.0,27,27,0,False
2018-07-08,0.0,52.05283018867925,0.0,26.026415094339626,26.026415094339626,0.0,27,0,40,False
2018-07-15,0.0,0.0,0.0,0.0,0.0,0.0,0,0,28,False
2018-07-22,0.0,28.76603773584906,0.0,0.0,0.0,0.0,0,0,59,False
2018-07-29,29.450943396226418,0.0,0.0,0.0,29.450943396226418,0.0,31,0,0,False
2018-08-05,0.0,32.190566037735856,0.0,0.0,0.0,0.0,0,49,0,False
2018-08-12,68.49056603773586,51.36792452830189,0.0,34.24528301886793,0.0,0.0,0,71,35,False
2018-08-19,0.0,31.505660377358495,0.0,0.0,31.505660377358495,0.0,33,33,49,False
2018-08-26,0.0,27.396226415094343,0.0,0.0,27.396226415094343,0.0,28,28,57,False
2018-09-02,24.65660377358491,23.971698113207548,0.0,23.971698113207548,0.0,0.0,0,38,25,False
2018-09-09,23.971698113207548,0.0,0.0,23.971698113207548,0.0,0.0,0,0,0,False
2018-09-16,22.60188679245283,0.0,0.0,0.0,0.0,0.0,0,0,24,False
2018-09-23,21.916981132075474,45.20377358490566,0.0,0.0,22.60188679245283,0.0,23,0,23,False
2018-09-30,0.0,34.24528301886793,0.0,0.0,22.60188679245283,0.0,24,23,0,False
2018-10-07,0.0,0.0,0.0,23.971698113207548,47.943396226415096,0.0,50,0,0,False
2018-10-14,22.60188679245283,0.0,0.0,0.0,0.0,0.0,0,0,23,False
2018-10-21,22.60188679245283,0.0,0.0,0.0,22.60188679245283,0.0,23,23,23,False
2018-10-28,23.28679245283019,0.0,0.0,23.971698113207548,23.971698113207548,0.0,25,0,0,False
2018-11-04,20.547169811320757,0.0,0.0,0.0,0.0,0.0,0,0,21,False
2018-11-11,0.0,0.0,0.0,0.0,0.0,0.0,0,0,22,False
2018-11-18,21.232075471698117,42.464150943396234,0.0,0.0,0.0,0.0,0,0,0,False
2018-11-25,20.547169811320757,20.547169811320757,0.0,20.547169811320757,0.0,0.0,0,21,21,False
2018-12-02,0.0,21.916981132075474,0.0,44.51886792452831,21.916981132075474,0.0,23,0,0,False
2018-12-09,0.0,0.0,0.0,0.0,0.0,0.0,0,24,24,False
