date,matrimonio country chic,matrimonio bucolico,matrimonio originale,matrimonio romantico,matrimonio elegante,matrimonio in spiaggia,matrimonio tradizionale
2018-01-07,0,0,0,0,36,36,0
2018-01-14,37,0,0,0,35,0,0
2018-01-21,36,0,0,0,70,0,0
2018-01-28,0,0,0,0,0,0,0
2018-02-04,0,0,0,0,34,0,0
2018-02-11,0,0,0,0,66,0,0
2018-02-18,0,0,0,0,0,0,0
2018-02-25,31,0,0,0,0,61,0
2018-03-04,0,0,0,0,0,0,0
2018-03-11,65,0,0,0,31,0,0
2018-03-18,33,0,0,0,0,0,0
2018-03-25,0,0,0,0,0,67,0
2018-04-01,36,0,0,0,0,35,0
2018-04-08,0,0,0,0,0,32,0
2018-04-15,0,0,0,0,0,0,0
2018-04-22,35,0,0,0,68,0,0
2018-04-29,34,0,0,0,0,33,0
2018-05-06,32,0,0,0,0,31,0
2018-05-13,0,0,0,0,63,0,0
2018-05-20,0,0,0,0,63,0,0
2018-05-27,0,0,0,0,0,32,0
2018-06-03,34,0,0,0,33,0,0
2018-06-10,0,0,0,0,31,0,0
2018-06-17,0,0,0,0,31,31,0
2018-06-24,0,0,0,0,100,33,0
2018-07-01,0,0,0,0,66,33,0
2018-07-08,0,0,0,0,33,0,0
2018-07-15,0,0,0,0,34,34,0
2018-07-22,34,0,0,0,0,33,0
2018-07-29,35,0,0,0,34,0,0
2018-08-05,37,0,0,0,0,0,0
2018-08-12,0,0,0,0,42,42,0
2018-08-19,46,0,0,0,0,44,0
2018-08-26,39,0,0,0,0,0,0
2018-09-02,0,0,0,0,97,32,0
2018-09-09,0,0,0,0,95,0,0
2018-09-16,31,0,0,0,61,30,0
2018-09-23,32,0,0,0,0,0,0
2018-09-30,0,0,0,0,0,0,0
2018-10-07,0,0,0,0,0,32,0
2018-10-14,33,0,0,0,0,63,0
2018-10-21,32,0,0,0,0,0,0
2018-10-28,0,0,0,0,0,0,0
2018-11-04,30,0,0,0,0,0,0
2018-11-11,0,0,0,0,0,0,0
2018-11-18,0,0,0,0,0,0,0
2018-11-25,32,0,0,0,63,0,0
2018-12-02,0,0,0,0,29,0,0
2018-12-09,0,0,0,0,33,0,0
2018-12-16,0,0,0,0,0,0,0
2018-12-23,0,0,0,0,0,0,0
2018-12-30,0,0,0,0,37,0,0
2019-01-06,0,0,0,0,36,0,0
2019-01-13,35,0,0,0,0,0,0
2019-01-20,34,0,0,0,0,0,0
2019-01-27,30,0,0,0,0,0,0
2019-02-03,0,0,0,0,0,0,0
2019-02-10,0,0,0,0,0,0,0
2019-02-17,0,0,0,0,69,0,0
2019-02-24,0,0,0,0,61,31,0
2019-03-03,0,0,0,0,0,0,0
2019-03-10,0,0,0,0,36,0,0
2019-03-17,37,0,0,0,36,0,0
2019-03-24,36,0,0,0,71,0,0
2019-03-31,0,0,0,0,35,0,0
2019-04-07,34,0,0,0,33,65,0
2019-04-14,0,0,0,0,0,34,0
2019-04-21,41,0,0,0,0,0,0
2019-04-28,0,0,0,0,0,67,0
2019-05-05,32,0,0,0,0,0,0
2019-05-12,0,0,0,0,33,0,0
2019-05-19,0,0,0,0,34,0,0
2019-05-26,0,0,0,0,65,0,0
2019-06-02,0,0,0,0,0,34,0
2019-06-09,0,0,0,0,34,0,0
2019-06-16,37,0,0,0,36,72,0
2019-06-23,38,0,0,0,37,36,0
2019-06-30,0,0,0,0,0,0,0
2019-07-07,0,0,0,0,0,0,0
2019-07-14,39,0,0,0,0,0,0
2019-07-21,0,0,0,0,37,0,0
2019-07-28,0,0,0,0,0,0,0
2019-08-04,0,0,0,0,0,0,0
2019-08-11,0,0,0,0,46,0,0
2019-08-18,0,0,0,0,0,0,0
2019-08-25,0,0,0,0,0,0,0
2019-09-01,33,0,0,0,32,0,0
2019-09-08,36,0,0,0,0,34,0
2019-09-15,0,0,0,0,0,0,0
2019-09-22,0,0,0,0,33,0,0
2019-09-29,0,0,0,0,33,33,0
2019-10-06,0,0,0,0,34,0,0
2019-10-13,0,0,0,0,0,0,0
2019-10-20,34,0,0,0,33,0,0
2019-10-27,0,0,0,0,0,0,0
2019-11-03,0,0,0,0,0,0,0
2019-11-10,0,0,0,0,0,0,0
2019-11-17,0,0,0,0,0,0,0
2019-11-24,0,0,0,0,33,0,0
2019-12-01,0,0,0,0,0,0,0
2019-12-08,0,0,0,0,0,0,0
2019-12-15,0,0,0,0,0,0,0
2019-12-22,0,0,0,0,0,0,0
2019-12-29,0,0,0,0,0,0,0
2020-01-05,0,0,0,0,0,0,0
2020-01-12,32,0,0,0,0,0,0
2020-01-19,0,0,0,0,32,0,0
2020-01-26,0,0,0,0,0,31,0
2020-02-02,0,0,0,0,0,0,0
2020-02-09,0,0,0,0,0,0,0
2020-02-16,0,0,0,0,32,32,0
2020-02-23,31,0,0,0,0,0,0
2020-03-01,0,0,0,0,0,30,0
2020-03-08,0,0,0,0,0,0,0
2020-03-15,0,0,0,0,0,0,0
2020-03-22,0,0,0,0,0,0,0
2020-03-29,0,0,0,0,0,0,0
2020-04-05,0,0,0,0,0,0,0
2020-04-12,0,0,0,0,0,0,0
2020-04-19,0,0,0,0,0,0,0
2020-04-26,0,0,0,0,0,0,0
2020-05-03,0,0,0,0,0,0,0
