date,freie Hochzeit,Hochzeit Standesamt,Hochzeit Kirche,isPartial
2018-01-07,18,18,0,False
2018-01-14,0,36,18,False
2018-01-21,0,88,0,False
2018-01-28,0,36,36,False
2018-02-04,0,72,27,False
2018-02-11,18,100,0,False
2018-02-18,18,27,27,False
2018-02-25,18,72,0,False
2018-03-04,0,18,18,False
2018-03-11,18,27,36,False
2018-03-18,0,18,18,False
2018-03-25,20,20,59,False
2018-04-01,0,40,50,False
2018-04-08,19,57,38,False
2018-04-15,0,49,20,False
2018-04-22,0,38,48,False
2018-04-29,0,69,20,False
2018-05-06,20,39,58,False
2018-05-13,0,75,56,False
2018-05-20,0,38,67,False
2018-05-27,39,39,39,False
2018-06-03,0,29,19,False
2018-06-10,0,19,19,False
2018-06-17,0,19,38,False
2018-06-24,20,59,39,False
2018-07-01,20,30,40,False
2018-07-08,20,30,40,False
2018-07-15,0,20,40,False
2018-07-22,0,40,40,False
2018-07-29,0,29,29,False
2018-08-05,0,38,47,False
2018-08-12,40,40,40,False
2018-08-19,0,57,28,False
2018-08-26,0,28,37,False
2018-09-02,0,27,37,False
2018-09-09,0,55,0,False
2018-09-16,0,19,19,False
2018-09-23,0,28,19,False
2018-09-30,0,39,40,False
2018-10-07,19,38,39,False
2018-10-14,19,0,18,False
2018-10-21,0,72,0,False
2018-10-28,0,54,0,False
2018-11-04,0,27,26,False
2018-11-11,19,37,18,False
2018-11-18,0,18,18,False
2018-11-25,0,39,0,False
2018-12-02,38,58,0,False
2018-12-09,0,29,19,False
2018-12-16,0,38,19,False
2018-12-23,0,46,34,False
2018-12-30,0,41,0,False
2019-01-06,19,56,38,False
2019-01-13,0,36,27,False
2019-01-20,0,71,36,False
2019-01-27,18,36,0,False
2019-02-03,18,18,35,False
2019-02-10,18,36,27,False
2019-02-17,0,54,0,False
2019-02-24,28,19,38,False
2019-03-03,0,0,18,False
2019-03-10,0,45,0,False
2019-03-17,19,46,38,False
2019-03-24,0,36,18,False
2019-03-31,0,18,27,False
2019-04-07,0,36,0,False
2019-04-14,39,30,39,False
2019-04-21,0,86,29,False
2019-04-28,0,47,28,False
2019-05-05,0,44,18,False
2019-05-12,18,64,18,False
2019-05-19,36,18,36,False
2019-05-26,0,28,19,False
2019-06-02,18,18,18,False
2019-06-09,28,73,18,False
2019-06-16,19,37,37,False
2019-06-23,28,28,19,False
2019-06-30,19,28,0,False
2019-07-07,19,85,19,False
2019-07-14,19,29,29,False
2019-07-21,20,20,20,False
2019-07-28,0,30,30,False
2019-08-04,0,38,19,False
2019-08-11,18,36,36,False
2019-08-18,27,54,45,False
2019-08-25,0,45,27,False
2019-09-01,0,18,18,False
2019-09-08,0,45,18,False
2019-09-15,0,19,37,False
2019-09-22,27,36,18,False
2019-09-29,0,76,0,False
2019-10-06,0,36,0,False
2019-10-13,0,70,0,False
2019-10-20,17,43,34,False
2019-10-27,0,59,34,False
2019-11-03,0,34,0,False
2019-11-10,0,34,17,False
2019-11-17,0,0,17,False
2019-11-24,17,25,17,False
2019-12-01,17,17,34,False
2019-12-08,0,0,34,False
2019-12-15,0,17,0,False
2019-12-22,20,20,20,False
2019-12-29,0,48,29,False
2020-01-05,0,34,60,False
2020-01-12,16,32,16,False
2020-01-19,16,16,16,False
2020-01-26,16,16,0,False
2020-02-02,0,24,0,False
2020-02-09,0,40,16,False
2020-02-16,17,41,17,False
2020-02-23,16,32,16,False
2020-03-01,16,16,16,False
2020-03-08,15,15,15,False
2020-03-15,0,23,0,False
2020-03-22,15,15,0,False
2020-03-29,45,23,31,False
2020-04-05,17,33,0,False
2020-04-12,0,16,16,False
2020-04-19,0,15,30,False
2020-04-26,15,23,0,False
2020-05-03,0,43,0,True
