geoName,geoCode,Blumenladen
Aargau,CH-AG,65
Appenzell Innerrhoden,CH-AI,0
Appenzell Outer Rhodes,CH-AR,24
Basel-Landschaft,CH-BL,90
Basel-Stadt,CH-BS,60
Canton of Bern,CH-BE,61
Canton of Fribourg,CH-FR,25
Canton of Glarus,CH-GL,37
Canton of Jura,CH-JU,0
Canton of Neuchâtel,CH-NE,0
Canton of Obwalden,CH-OW,72
Canton of Schaffhausen,CH-SH,59
Canton of Schwyz,CH-SZ,58
Canton of Solothurn,CH-SO,85
Canton of Uri,CH-UR,0
Canton of Zug,CH-ZG,74
Geneva,CH-GE,2
Grisons,CH-GR,37
Lucerne,CH-LU,39
Nidwalden,CH-NW,100
St. Gallen,CH-SG,42
Thurgau,CH-TG,36
Ticino,CH-TI,12
Valais,CH-VS,15
Vaud,CH-VD,13
Zurich,CH-ZH,57
