,geoName,bouquet mariage
3,Brittany,34.146341463414636
5,Centre-Val de Loire,73.17073170731707
7,Corsica,0.0
15,Pays de la Loire,81.70731707317073
18,Provence-Alpes-Côte d'Azur,60.97560975609756
21,Île-de-France,53.65853658536586
22,Grand-est,72.76422764227642
23,Hauts-de-france,81.70731707317073
24,Normandie,33.53658536585366
25,Bourgogne-Franche-Comté,32.926829268292686
26,Nouvelle-Aquitaine,89.43089430894308
27,Occitanie,35.97560975609756
28,Auvergne-Rhône-Alpes,100.0
