geoName,geoCode,barista
Abruzzo,IT-65,50
Aosta,IT-23,0
Apulia,IT-75,22
Basilicata,IT-77,13
Calabria,IT-78,22
Campania,IT-72,29
Emilia-Romagna,IT-45,38
Friuli-Venezia Giulia,IT-36,48
Lazio,IT-62,35
Liguria,IT-42,27
Lombardy,IT-25,38
Marche,IT-57,37
Molise,IT-67,100
Piedmont,IT-21,45
Sardinia,IT-88,46
Sicily,IT-82,23
Trentino-Alto Adige/South Tyrol,IT-32,55
Tuscany,IT-52,29
Umbria,IT-55,26
Veneto,IT-34,35
