geoName,geoCode,torta al latte
Abruzzo,IT-65,31
Aosta,IT-23,78
Apulia,IT-75,59
Basilicata,IT-77,100
Calabria,IT-78,52
Campania,IT-72,61
Emilia-Romagna,IT-45,54
Friuli-Venezia Giulia,IT-36,30
Lazio,IT-62,44
Liguria,IT-42,67
Lombardy,IT-25,48
Marche,IT-57,32
Molise,IT-67,48
Piedmont,IT-21,44
Sardinia,IT-88,68
Sicily,IT-82,57
Trentino-Alto Adige/South Tyrol,IT-32,26
Tuscany,IT-52,52
Umbria,IT-55,35
Veneto,IT-34,38
