geoName,geoCode,Carport
Burgenland,AT-1,100
Carinthia,AT-2,91
Lower Austria,AT-3,73
Salzburg,AT-5,54
Styria,AT-6,81
Tyrol,AT-7,54
Upper Austria,AT-4,55
Vienna,AT-9,33
Vorarlberg,AT-8,42
