geoName,geoCode,Ofenbauer
Baden-Württemberg,DE-BW,75
Bavaria,DE-BY,100
Berlin,DE-BE,24
Brandenburg,DE-BB,59
Bremen,DE-HB,0
Hamburg,DE-HH,23
Hesse,DE-HE,26
Lower Saxony,DE-NI,41
Mecklenburg-Vorpommern,DE-MV,83
North Rhine-Westphalia,DE-NW,15
Rhineland-Palatinate,DE-RP,39
Saarland,DE-SL,0
Saxony,DE-SN,59
Saxony-Anhalt,DE-ST,52
Schleswig-Holstein,DE-SH,43
Thuringia,DE-TH,77
