geoName,geoCode,Grünschnitt
Burgenland,AT-1,92
Carinthia,AT-2,28
Lower Austria,AT-3,73
Salzburg,AT-5,24
Styria,AT-6,71
Tyrol,AT-7,52
Upper Austria,AT-4,100
Vienna,AT-9,31
Vorarlberg,AT-8,0
