date,Dachisolierung,isPartial
2018-01-07,38,False
2018-01-14,100,False
2018-01-21,50,False
2018-01-28,25,False
2018-02-04,60,False
2018-02-11,52,False
2018-02-18,86,False
2018-02-25,76,False
2018-03-04,51,False
2018-03-11,38,False
2018-03-18,77,False
2018-03-25,55,False
2018-04-01,41,False
2018-04-08,79,False
2018-04-15,36,False
2018-04-22,26,False
2018-04-29,53,False
2018-05-06,27,False
2018-05-13,43,False
2018-05-20,27,False
2018-05-27,62,False
2018-06-03,26,False
2018-06-10,38,False
2018-06-17,51,False
2018-06-24,65,False
2018-07-01,51,False
2018-07-08,77,False
2018-07-15,35,False
2018-07-22,54,False
2018-07-29,53,False
2018-08-05,35,False
2018-08-12,54,False
2018-08-19,80,False
2018-08-26,79,False
2018-09-02,26,False
2018-09-09,39,False
2018-09-16,65,False
2018-09-23,92,False
2018-09-30,70,False
2018-10-07,39,False
2018-10-14,34,False
2018-10-21,34,False
2018-10-28,76,False
2018-11-04,49,False
2018-11-11,50,False
2018-11-18,97,False
2018-11-25,41,False
2018-12-02,66,False
2018-12-09,50,False
2018-12-16,52,False
2018-12-23,30,False
2018-12-30,44,False
2019-01-06,48,False
2019-01-13,78,False
2019-01-20,55,False
2019-01-27,47,False
2019-02-03,48,False
2019-02-10,57,False
2019-02-17,81,False
2019-02-24,66,False
2019-03-03,64,False
2019-03-10,36,False
2019-03-17,74,False
2019-03-24,41,False
2019-03-31,50,False
2019-04-07,49,False
2019-04-14,67,False
2019-04-21,78,False
2019-04-28,60,False
2019-05-05,55,False
2019-05-12,25,False
2019-05-19,60,False
2019-05-26,25,False
2019-06-02,36,False
2019-06-09,38,False
2019-06-16,42,False
2019-06-23,63,False
2019-06-30,61,False
2019-07-07,49,False
2019-07-14,89,False
2019-07-21,36,False
2019-07-28,39,False
2019-08-04,52,False
2019-08-11,50,False
2019-08-18,50,False
2019-08-25,62,False
2019-09-01,60,False
2019-09-08,57,False
2019-09-15,57,False
2019-09-22,48,False
2019-09-29,40,False
2019-10-06,24,False
2019-10-13,47,False
2019-10-20,39,False
2019-10-27,23,False
2019-11-03,74,False
2019-11-10,45,False
2019-11-17,45,False
2019-11-24,56,False
2019-12-01,53,False
2019-12-08,34,False
2019-12-15,23,False
2019-12-22,67,False
2019-12-29,65,False
2020-01-05,72,False
2020-01-12,28,False
2020-01-19,29,False
2020-01-26,79,False
2020-02-02,79,False
2020-02-09,56,False
2020-02-16,51,False
2020-02-23,28,False
2020-03-01,42,False
2020-03-08,40,False
2020-03-15,49,False
2020-03-22,29,False
2020-03-29,19,False
2020-04-05,43,False
2020-04-12,75,False
2020-04-19,53,False
2020-04-26,32,False
2020-05-03,66,False
2020-05-10,59,False
