geoName,geoCode,Schiebetür
Burgenland,AT-1,100
Carinthia,AT-2,68
Lower Austria,AT-3,75
Salzburg,AT-5,65
Styria,AT-6,72
Tyrol,AT-7,66
Upper Austria,AT-4,79
Vienna,AT-9,51
Vorarlberg,AT-8,69
