geoName,geoCode,Heckenpflanzen
Burgenland,AT-1,85
Carinthia,AT-2,45
Lower Austria,AT-3,100
Salzburg,AT-5,59
Styria,AT-6,79
Tyrol,AT-7,26
Upper Austria,AT-4,100
Vienna,AT-9,64
Vorarlberg,AT-8,88
