geoName,geoCode,montare video
Abruzzo,IT-65,86
Aosta,IT-23,0
Apulia,IT-75,80
Basilicata,IT-77,61
Calabria,IT-78,94
Campania,IT-72,91
Emilia-Romagna,IT-45,100
Friuli-Venezia Giulia,IT-36,39
Lazio,IT-62,93
Liguria,IT-42,89
Lombardy,IT-25,69
Marche,IT-57,75
Molise,IT-67,0
Piedmont,IT-21,95
Sardinia,IT-88,57
Sicily,IT-82,91
Trentino-Alto Adige/South Tyrol,IT-32,77
Tuscany,IT-52,68
Umbria,IT-55,97
Veneto,IT-34,49
