geoName,geoCode,Installateur
Baden-Württemberg,DE-BW,67
Bavaria,DE-BY,54
Berlin,DE-BE,58
Brandenburg,DE-BB,54
Bremen,DE-HB,88
Hamburg,DE-HH,26
Hesse,DE-HE,52
Lower Saxony,DE-NI,67
Mecklenburg-Vorpommern,DE-MV,85
North Rhine-Westphalia,DE-NW,100
Rhineland-Palatinate,DE-RP,71
Saarland,DE-SL,31
Saxony,DE-SN,42
Saxony-Anhalt,DE-ST,42
Schleswig-Holstein,DE-SH,52
Thuringia,DE-TH,55
