geoName,geoCode,Schlüsseldienst
Baden-Württemberg,DE-BW,54
Bavaria,DE-BY,53
Berlin,DE-BE,100
Brandenburg,DE-BB,76
Bremen,DE-HB,68
Hamburg,DE-HH,66
Hesse,DE-HE,59
Lower Saxony,DE-NI,60
Mecklenburg-Vorpommern,DE-MV,61
North Rhine-Westphalia,DE-NW,80
Rhineland-Palatinate,DE-RP,50
Saarland,DE-SL,82
Saxony,DE-SN,71
Saxony-Anhalt,DE-ST,74
Schleswig-Holstein,DE-SH,63
Thuringia,DE-TH,84
