geoName,geoCode,pinturas
Andalusia,ES-AN,100
Aragon,ES-AR,81
Asturias,ES-AS,82
Balearic Islands,ES-IB,64
Basque Country,ES-PV,74
Canary Islands,ES-CN,66
Cantabria,ES-CB,96
Castile and León,ES-CL,71
Castile-La Mancha,ES-CM,83
Catalonia,ES-CT,68
Ceuta,ES-CE,80
Community of Madrid,ES-MD,59
Extremadura,ES-EX,81
Galicia,ES-GA,71
La Rioja,ES-RI,64
Melilla,ES-ML,29
Navarre,ES-NC,76
Region of Murcia,ES-MC,76
Valencian Community,ES-VC,81
