geoName,geoCode,Haus
Burgenland,AT-1,100
Carinthia,AT-2,93
Lower Austria,AT-3,95
Salzburg,AT-5,83
Styria,AT-6,88
Tyrol,AT-7,83
Upper Austria,AT-4,81
Vienna,AT-9,80
Vorarlberg,AT-8,87
