geoName,geoCode,Zimmermann
Burgenland,AT-1,70
Carinthia,AT-2,60
Lower Austria,AT-3,84
Salzburg,AT-5,67
Styria,AT-6,58
Tyrol,AT-7,70
Upper Austria,AT-4,42
Vienna,AT-9,69
Vorarlberg,AT-8,100
