geoName,geoCode,immagini matrimonio
Abruzzo,IT-65,100
Aosta,IT-23,0
Apulia,IT-75,26
Basilicata,IT-77,0
Calabria,IT-78,28
Campania,IT-72,14
Emilia-Romagna,IT-45,39
Friuli-Venezia Giulia,IT-36,71
Lazio,IT-62,25
Liguria,IT-42,12
Lombardy,IT-25,41
Marche,IT-57,39
Molise,IT-67,0
Piedmont,IT-21,21
Sardinia,IT-88,26
Sicily,IT-82,22
Trentino-Alto Adige/South Tyrol,IT-32,0
Tuscany,IT-52,27
Umbria,IT-55,0
Veneto,IT-34,29
