geoName,geoCode,Rohrleitungsbau
Baden-Württemberg,DE-BW,59
Bavaria,DE-BY,57
Berlin,DE-BE,28
Brandenburg,DE-BB,74
Bremen,DE-HB,97
Hamburg,DE-HH,49
Hesse,DE-HE,53
Lower Saxony,DE-NI,82
Mecklenburg-Vorpommern,DE-MV,100
North Rhine-Westphalia,DE-NW,67
Rhineland-Palatinate,DE-RP,42
Saarland,DE-SL,45
Saxony,DE-SN,95
Saxony-Anhalt,DE-ST,74
Schleswig-Holstein,DE-SH,49
Thuringia,DE-TH,99
