date,Tailleur,isPartial
2018-01-07,57,False
2018-01-14,58,False
2018-01-21,43,False
2018-01-28,54,False
2018-02-04,63,False
2018-02-11,50,False
2018-02-18,28,False
2018-02-25,45,False
2018-03-04,95,False
2018-03-11,40,False
2018-03-18,44,False
2018-03-25,87,False
2018-04-01,46,False
2018-04-08,96,False
2018-04-15,64,False
2018-04-22,50,False
2018-04-29,45,False
2018-05-06,52,False
2018-05-13,71,False
2018-05-20,61,False
2018-05-27,49,False
2018-06-03,39,False
2018-06-10,51,False
2018-06-17,64,False
2018-06-24,33,False
2018-07-01,36,False
2018-07-08,30,False
2018-07-15,42,False
2018-07-22,24,False
2018-07-29,32,False
2018-08-05,32,False
2018-08-12,63,False
2018-08-19,35,False
2018-08-26,34,False
2018-09-02,64,False
2018-09-09,67,False
2018-09-16,71,False
2018-09-23,64,False
2018-09-30,60,False
2018-10-07,50,False
2018-10-14,68,False
2018-10-21,65,False
2018-10-28,70,False
2018-11-04,80,False
2018-11-11,65,False
2018-11-18,54,False
2018-11-25,88,False
2018-12-02,51,False
2018-12-09,52,False
2018-12-16,46,False
2018-12-23,44,False
2018-12-30,37,False
2019-01-06,44,False
2019-01-13,70,False
2019-01-20,43,False
2019-01-27,48,False
2019-02-03,65,False
2019-02-10,53,False
2019-02-17,59,False
2019-02-24,95,False
2019-03-03,76,False
2019-03-10,68,False
2019-03-17,68,False
2019-03-24,69,False
2019-03-31,96,False
2019-04-07,60,False
2019-04-14,75,False
2019-04-21,56,False
2019-04-28,72,False
2019-05-05,68,False
2019-05-12,77,False
2019-05-19,84,False
2019-05-26,100,False
2019-06-02,51,False
2019-06-09,69,False
2019-06-16,52,False
2019-06-23,43,False
2019-06-30,43,False
2019-07-07,48,False
2019-07-14,21,False
2019-07-21,28,False
2019-07-28,35,False
2019-08-04,55,False
2019-08-11,44,False
2019-08-18,38,False
2019-08-25,61,False
2019-09-01,93,False
2019-09-08,97,False
2019-09-15,70,False
2019-09-22,66,False
2019-09-29,98,False
2019-10-06,71,False
2019-10-13,50,False
2019-10-20,64,False
2019-10-27,59,False
2019-11-03,75,False
2019-11-10,83,False
2019-11-17,50,False
2019-11-24,59,False
2019-12-01,65,False
2019-12-08,64,False
2019-12-15,57,False
2019-12-22,66,False
2019-12-29,69,False
2020-01-05,46,False
2020-01-12,56,False
2020-01-19,54,False
2020-01-26,65,False
2020-02-02,55,False
2020-02-09,43,False
2020-02-16,67,False
2020-02-23,48,False
2020-03-01,64,False
2020-03-08,63,False
2020-03-15,36,False
2020-03-22,47,False
2020-03-29,35,False
2020-04-05,45,False
2020-04-12,47,True
